,meetup_0_description
1,"Austrian Economics is not the economics of the country of Austria, and you don't need to go to Austria to learn about it - in fact Austrian Economics is right here in St. Paul! Austrian Economics is about the economics of real people making economic decisions in the real world. It is called Austrian because many of the first Austrian economists, like Menger, Böhm-Bawerk, and Ludwig von Mises, were from Austria. But Austrian Economics is now taught and practiced all over the world. If you are not familiar with Austrian Economics or Ludwig von Mises, you can get a quick overview here ( and here ( Please also check out the Ludwig von Mises Institute ( which continues to carry on scholarship in the tradition of the Austrian School.
Our get-togethers are open to anyone interested in learning more about liberty, free markets, sound money and peace. Please join us!"
2,"This group is for citizens who are willing (or have) taken a second look into the attacks of September 11, 2001 and question the investigation procedure and conclusion. The group takes its lead from more than 2,300 professional architects and engineers who have called for an independent investigation. We meet to share this information from Architects and Engineers for 9/11 Truth to other citizens who are unaware of the third World Trade Center (#7) building to collapse that day. We encourage questions, open dialogue and support the standard practices for fire investigation using accepted procedures for scientific discovery."
3,"Are you are reeling from the recent election? Have you stopped listening to the media for fear that you will hear Trump’s voice? Or have you gone the other way and spent hours each day checking on what he has done, being outraged, and forwarding it on to others? Many people find they are now questioning their long-held beliefs about America, fellow citizens, and the future of our democracy. At this gathering Dr. Hunter will help you examine the psychological, emotional, and spiritual impact you have experienced from recent events, but more importantly, he will also help you identify what you can be done to recover from these negative effects, and to take meaningful action."
5,"Organize Eagan and Inver Grove Heights, so Ron Paul can win MN."
6,"Sick of driving to Minneapolis to get your fix of Austrian Economics? The Green Anchor - Austrian Economics Meetup has expanded to the Southern-burbs!
The Green Anchor has been meeting every week on the south side of Minneapolis, Minnesota since 2007 to discuss and learn... more about economic freedom. The title of the group, The Green Anchor, was the name of the restaurant in Vienna where Ludwig von Mises gathered with his friends and students to discuss economics well into the late evening.
If you are not familiar with Austrian Economics or Ludwig von Mises, you can get a quick overview here ( and here (
Also, check out the Ludwig von Mises Institute ( which continues to carry on scholarship in the tradition of the Austrian School. While we sometimes discuss local political and social issues that are of interest to our members, we generally choose a weekly topic relating to the free market. Our get-togethers are open to anyone interested in learning more about liberty, free markets, sound money and peace.
Please join us. To find out whether you are an Austrian, try this quiz! ("
11,"The over-arching theme of this discussion group is the ideas and manifestations of human freedom. We will discuss historical periods and people who have been significant in the progression and protection of individual liberty, as well as those individuals and regimes who have tyrannized over mankind. This will require us to develop an understanding of the various ideologies which have made both Freedom-Fighters and Tyrants tick; and the means by which they enlightened and inspired or deluded and intimidated critical segments of the populous and thus shifted the course of history in the direction of a free, voluntary social order or a hegemonic order of masters and slaves. Come get acquainted, enjoy a beer or coffee while listening to a short discourse on a predefined topic, then engage in creative argumentation, chaotic discussion, provocative insinuation, or just do what thou wilt and let that be the whole of the law."
14,"Celebrating the progressive ideas, activism and people of the western Twin Citiesl!"
18,It's a hard job but I have decided to do it. This group will be a safe and neutral meeting ground for all varieties of self-identified socialists. Ideally it should be a place where people can leave their labels and their (intellectual) guns at the door. Talk of the future not the past. Share what we agree on and be respectful about what we don't.
19,"PALLS is a group of progressively minded people working to improve our country through political action, education, or just good friendships. You decide what level of interest and commitment you will bring to the group. You can just socialize with people who share your values, or get more involved. Whether it be writing letters, calling Members of Congress, marching to the capitol, joining town halls (even empty chair events!) or just sharing a festive dinner with like minded friends, we create opportunities for progressives to meet, socialize and participate. PALLS organizes educational events and posts actions from other groups of interest to our members. We meet for coffee periodically and host Sunday brunches the third Sunday of each month. 
If you want to organize an event or cross list progressive activities, we will help you. We welcome and encourage new members to bring their ideas for events and activities to our group. Democracy takes work and it is involves all of us working together. Host a coffee chat. Organize an discussion group. Invite activists to tell us about their work. Plan a happy hour or an informal lunch or dinner. If you lean even a little bit toward the left, you will find friends here. "
20,"Minnesotans who are tired of living in the Nanny State get together once a week and drive over to Hudson to purchase beer, wine, liquor and sometimes gas. We'll save our receipts and tally them at the end of the year to demonstrate to the cowards in the legislature what the state lost because of their support for special interest groups."
