name,class,description
Clothing Swap And Events,0,"Clothing Swaps are fashionable, fun and philanthropic events that allow you to refresh your wardrobe on a dime, while having a blast. De-clutter that closet! Bring all your clothing, shoes & accessories (in good condition) that you no longer wear. SWAP and bring home your favorites for free."
Santa Cruz Women's Clothing Swap,0,"Meet with locals in a women-only, relaxed and friendly environment to swap the clothes you no longer want or need for cool new ones! No cash traded, just clothes! Please read the FAQs before requesting to become a member. You will find them on the Pages tab here:  "
San Francisco Organic + Plant-Based Food Meetup,0,"Meet people who are interested in organic, raw, vegan, whole foods, and conscious fitness (pilates, yoga and dance)! Come to a Meetup to have fun, share recipes, discuss food, sweat, breathe, smile, make new friends, get inspired and motivated. Anyone interested in living a conscious organic life and meeting others who are passionate about food, health and fitness are welcome!  
We throw everything from raw potlucks, to Non GMO expert lectures, to pilates/yoga superfood detox retreats, to spring water collecting hikes. Eco-beauty nights, movie marathons, and conscious dance parties packed with raw treats are a blast as well. Superfood elixir bar happy hour and juicing/smoothie making competitions are coming down the line.
These meet ups allow all of us to teach and learn from each other. I look forward to meeting you all and please feel free to reach out with any questions. I am here to help you create your most epic self mind, body and spirit. That includes having a strong community of like minds to support you on your path!
smile and breathe, you are here."
African Heritage Resources  Network,0,"Connections, Innovation, Transformation, Total Wellness
The African Heritage Resources Network connects people to resources and  to one another. 
This involves identifying and using your strengths and other related untapped resources such as your natural environment, connections, personal skills, and identifying untapped opportunities. We will empower you by linking you to resources for career, business, education,health and lifetime opportunities.
As a Global Network,  this group may operate virtually/ physically . We also have a Facebook page and group page for conversations, networking and promotions. 
We ask you to please visit our pages and communicate with other participants sharing your, ideas, challenges as well as successes.

All postings will be done via the message board and email system of this forum.
Thank you and Welcome to the group.
'Achieving your best life ever is our goal.'"
Craft Labs,0,"Get your creative juices flowing at Craft Labs in San Francisco. Embellish your wardrobe or your home with unique custom crafts designed and made by you! All classes are held in a sunny artist’s studio space located in the Mission/Potrero Hill district, and taught by Susan Peterson, an artist and arts educator with more than 20 years of experience. Channel your inner craftiness with cool gadgets, jewelry, handmade books, paper, candleholders, wrist cuffs and cards. Feel good about yourself as you give new life to repurposed materials supplied by the class. New classes added frequently. Beginners and intermediate crafts lovers welcome. Requests for specific projects invited. Group classes for parties, social gatherings, team building or just for fun, are also an option.     
 
Learn more about us at "
World Traveling Photographers With A Conscience,0,"World Traveling photographers is a group for new or veteran photographers alike,  focused on sharing our amazing experiences through the lense in a fun, relaxed environment. If you have traveled the globe, great! If you want to with a fun group of people, this is your meetup. 
It is also about giving back. The goal of this meetup is to not only connect with like minded travelers who are able to capture a world in a moment, but also to improve the lives of those we journey to learn about. We will be getting together and sharing 5 to 10 of our best images from our trips at each meetup. We will then be selecting as a group the best images to print and do a show of. The profits from the sale of the images will go towards a charity in one of the countries featured in our show, based on majority vote. This is an opportunity for group collaboration, support, friendships, and a chance to share our work with the world. We may also go on photo expeditions, take group trips, Do low cost photography intensives with expert photographers and teachers, and help our local community, capturing the moment as we do."
Smarter Things Startup (Silicon Valley),0,"Silicon Valley is THE hotbed for startups, so we thought it time to bring a showcase-style Meetup to the South Bay/Peninsula! We want to emphasize products that are, above all, smart! This means things that think for themselves, use novel materials/design, or otherwise make our world a better, more connected place.
This Meetup aims to not only expose you to the newest of products, companies, concepts & technologies, but also connect experts with those seeking advisers, freelancers with employers, founders with partners & investors, and companies with their target markets. Think of it as an eclectic, multi-role job fair (if not for some elements of a county fair) with a focus on startups developing the Internet of Things, green tech, etc. All persons welcome.
Smarter Things events feature:
(1) a demo session by startups & founders in all stages of development
(2) efficient networking sessions before & after presentations
 "
Walnut Creek MDUUC Organic Gardening Class,0,"Calling all green thumbs or sort of brownish thumbs hoping to turn them green! Laural Landscapes is proving a 1 hour class once a month designed to give hands on instruction on organic and sustainable gardening. The class in July will focus on Natural Weed Control and August will feature ""Pollinator Furniture"". Attendees should bring a snack or lunch, gloves and dress in comfortable clothes and be ready to learn and work! No RSVP is required and we will be utilizing the gardens onsite."
Essential Oils San Francisco,0,"Looking for natural, non-toxic, holistic health? Have you used essential oils before but want to learn more ways to use them and all the amazing benefits they offer? Join our group and be informed of our regular essential oils classes. Learn how they can help with physical ailments such as digestive issues, hormone imbalances, weight loss, insomnia, stress and more. Also learn how they can affect you on an emotional & mental level; helping you relax, focus, gain clarity, and elevate your mood, to name a few. There are so many uses and ways to use essential oils, such as eliminating toxic products around the house and in your skin care. As a Wellness Advocate for doTERRA Essential Oils, I would love to teach you what I have been learning and how much they have enhanced my life. As an Acupuncturist, Aromatherapist and Living Foods Instructor; I am passionate about helping people take control of their health & wellness with natural solutions and would love to help you too :-)"
Nature Trail Clearing Party,0,"Calling all outdoor enthusiast! Join us for a day of trail maintenance at Lupin Lodge, one of the oldest naturist resorts in California, located on 110+ acres in the beautiful Santa Cruz mountains. Scotch Broom is an invasive species that poses serious threat to native prairies and forests. It prevents timber regeneration and displaces pasture forage for grazing animals. The plant is also toxic to livestock and is a fire hazard.
We are organizing a work party to join us for a day of trail maintenance."
