name,class,description
Sonoma County ACLU Meetup,1,Anyone interested in protecting civil rights. Join the Sonoma County chapter of the ACLU for our monthly meeting.
Bay Area International Development Group,1,"A lot of good work is being done from within the Bay Area to address global development issues. This Group serves as a space where those involved in and dedicated to this work can commune, share and socialize."
Awakening Circle,1,"Those who are new to spiritual awakening and looking for kindred spirits to share their experience with through unstructured chats, events, references or simply checking in. This experience (at times) can be solitary as we find our friends and family try to understand but are unable to completely comprehend/share our experiences.  This group will seek to honor everyone's process as each person is at their own point in awakening.  This is a safe and open space for all to build a community in which we can support each other on this exciting journey!"
SF & Bay Area Zeitgeist movement social consciousness group,1,"At this point the purpose of this group is to gain and grow members of fellow people who see the world for what it really is and the true root cause for all of the perilous issues we face. I saw Zeitgeist Moving Forward a year ago and in that finally found something that illustrated so masterfually everything I had always thought, the documentary was mind blowing and life changing. Thank you Netflix for adding this to your library for the public to see!
 There seems to be no real forums to actually talk to other like minded people even online, which is frustrating. Most of us know the masses are not open minded enough to even realize why they have the beliefs they have. so really I  can count on my hand the number of people I know who have agree with a resource based economy, I find it harder and harder to relate to the indoctrinated masses.
So it would be really nice to see if we can get some people to join, and who are up for chatting.   And hopefully get to a point to where we can have some regular in person meetups.... And maybe attend next year's Z-Day. 
Would love for you to join, and open to any and all suggestions.
Thanks,
Stuart"
Ethical Culture Society of Silicon Valley,1,"We are a democratic fellowship for people seeking a rational, compassionate philosophy of life without regard to belief or non belief in a supreme being.  We value the importance of living ethical, responsible, and socially connected lives. 
Together, we do service projects that benefit the larger community, including cleaning up the Bay, food sorting, collecting items for the homeless, and helping disadvantaged families. 
We welcome people from a variety of religious backgrounds.  Some consider themselves humanists, atheists, or agnostics. Our emphasis is on what we DO to make the world a better place individually and together.
We discuss ethical dilemmas that arise in our lives, hold programs to learn about ourselves, each other, and the issues of the day. We seek to be fully engaged in the community and the world. 
If you seek social events, social action and a socially-minded community, share your passion and join us!
For more information, visit our website at:  "
NetSquared Silicon Valley,1,"NetSquared gathers together nonprofits and activists, tech leaders and funders, and everyone who's interested in using technology for social change.
NONPROFIT STAFF will find a friendly, welcoming atmosphere for those who aren't experienced with technology, and many chances to ask questions of tech-experienced nonprofits and experts.
TECHNOLOGISTS AND CONSULTANTS will find opportunities to put your expertise to social good, as well as the potential for lasting relationships (be they paid or volunteer) with leading organizations in your community.
ACTIVISTS AND COMMUNITY LEADERS will see and be given the opportunity to present on successful uses of technology for social change. Not content to simply focus on ""shiny tech,"" we'll explore what the true potential for social change is in each case, where community organizing work can be made more effective, and where it will have to push technology forward.
Learn more about NetSquared and find your closest group at "
Balanced View San Francisco,1," 
Welcome! 
 It is every single person's birthright to enjoy mental and emotional stability and live in a peaceful world. It is up to each one of us!
The grassroots movement of Balanced View offers a unique education that guarantees immediate benefit and empowerment in our own experience. A simple practice, training, trainer and a global community support us to know our beneficial potency in all life's circumstances.   Trainers who have successfully applied this training will lead the meeting, answer questions and share their own direct experience.  
If you are new to the Balanced View Training the Open Meetings are perfect to drop by to, and apply for One Day Trainings through the week to explore more.
A great place to start is to watch some talks from our Balanced View Bristol You Tube channel. Enjoy! 
All are welcome!
For further information visit...
www.Bright.how
Or contact The Organizer
*The suggested contribution for Open Meetings is $10 to $20 All are welcome regardless of ability to contribute.
We look forward to meeting you!"
Urban Tech SF,1,"The world has experienced unprecedented urban growth in recent decades, and global data forecasts indicate this trend will only increase. Urban Tech SF focuses on the issues and strategies behind new technologies that improve (or hinder) our urban lives. Join us and explore a diverse range of urban technology projects in San Francisco. Participate in open civic engagement on the issues that shape our daily lives along the way."
Cultivate,1,"Cultivate is for people who love building software - not for software's sake, but for it's ability to create dramatic change in the world. We are designers and developers using our talents to create positive change that benefits our communities, our children and those who come after us.
In-person events cover a range of topics and formats. Learn the latest on building web applications with Angular and Node.js. Hack on tools to improve a farmer's productivity. Find a collaborator to work on your next big idea. Regardless of the topic or the format, we guarantee the food will always be great.
Good Eggs is the sponsor of Cultivate and is a new kind of grocery store where you buy online directly from farmers and foodmakers producing high quality food with integrity. If you believe in our mission to grow and sustain local food systems and think Good Eggs might be the right place for you, "
San Francisco / Bay Area - Basic Income Meetup,1,"The goal of the Basic Income Guarantee is to create income sufficient to cover basic needs, given directly to individuals, universally and unconditionally. This simultaneously abolishes poverty, eliminates complicated bureaucracies, grants economic security in an age of increasing workplace automation, and frees individuals to engage in work of their own choice.
This group is for anyone interested in helping to push this idea into reality."
