name,class,description
The Sacramento Spanish Language Meetup Group,1,"Hablame! Did you know that Spanish is the most spoken language in the world? Come to our next Meetup and practice your Spanish language skills. Start or review resources on the message board! We have a great group of fun people, that share a common interest in the Spanish language and culture. It's fun and free to attend. gracias y nos veamos pronto, ricardo.
( Also, see pages). cuidate, Rich."
The San Francisco Bay Area British and Irish Social Club,1,"Are you formerly of the British Isles or Ireland? Need a little British/Irish sense of humor but only getting looks as though you're mad? Want to go for a Pint and hear British/Irish accents all around you? Are you looking for a night out without hearing ""Isn't your accent cute""? Longing for home but not the weather? Then the San Francisco British and Irish Meetup Group is for you! We offer a monthly night out at our favorite Pub on the last Friday of the month and a variety of other fun things in and around San Francisco and the Bay Area. Typical of us we run the gamut of ages, locations and likes. From watching a bit of Footie (I support Liverpool of course), to a Sunday Roast, to a weekend away in the Wine Country, to a night out on the town. This club offers it all.  So if this sounds like you and you're keen to meet fun and active people please join our meetup and fill your diary with activities that take you back home. If you have any ideas you'd like to post just let me know!
Sylvia"
The San Francisco Italian Language Meetup Group,1,"Benvenuti, Italian Language Lovers!!!!
Want to speak the Italian Language with other Italians and ""appassionati"" della Bella Lingua, make new friends and network with native and non-native Italian speakers?
You've come to the right Meetup. The San Francisco Italian Language Meetup group offers you that opportunity. We schedule a variety of events that provide our ""soci"" with the opportunity to speak Italian at an intermediate or higher level, meet other Italians and Italian culture lovers and participate in Italian cultural, recreational and language events throughout San Francisco and the Bay Area.
We have multiple fixed, monthly meetups at Stella Pastry in North Beach, Pause Wine Bar in Hayes Valley and Italian Film Screenings at UC Berkeley, and usually schedule an additional 2-4 events during the month, also in collaboration with the San Francisco Italian Athletic Club, World Affairs Council, Istituto Italiano di Cultura, Italian Consulate General of SF, BAIA Business Association Italy America, Le Donne d'Italia and the North Beach Neighborhood Association and St. Peter and Paul Church/SF School, NICE New Italian Cinema and Marin Italian Film Festival, as well as many other Italian-focused businesses, organizations and activities.  Here's a selection of events offered (events all take place in italiano):

""Porta Da Mangiare e Bere"" feste (pot-luck buffets)
""Pizze Fatte Da Noi"" feste (homemade pizza)
""Cena e Cinema"" (dinner & a movie)
Ora Felice dopo Lavoro (Happy Hour after work)
Grigliate (BBQs)
""Mangiamo Insieme"" (fixed price Italian restaurant dining) 
Italian Film Festivals
Italian Lectures Series 
Italian Exhibitions
Italian Concerts
Wine Tastings/Vineyard Visits
Hiking/Nature Walks
Business Networking Events

We also post activities that other San Francisco Bay Area Italian groups and Meetups are organizing and keep an eye out for Italian cultural events that would enable conversation in Italian.
I invite you to join the San Francisco Italian Language Meetup and look forward to meeting you at one of our events. Please feel free to send suggestions and ideas for events, venues and Italian opportunities around the Bay Area.
*Please note that in order to maintain some kind of reliability with the group, members with 3 ""no shows"" to events will automatically be removed form the group out of respect for the organizers and other members."
The San Francisco Investor's Business Daily Meetup Group,1,"Investors and traders from the San Francisco area who read IBD make up our group. Many of us follow Bill O'Neil's CAN-SLIM method of investing while others use variations. We look forward to meeting new members - trading experience isn't necessary.
Soliciting will not be tolerated."
"Xoso Sport & Social Club:Dodgeball,Kickball,Softball + more!",1,"If you're new to Sacramento or just looking for a fun way to stay active, this is the group for you! We have lots of fun free events (pickup games, pub crawls with tons of people, etc.). The group is for adults 21 and older, and the average age range is 25-35. This group is great for both singles and couples alike! It's a great way to meet new people for: work, friends, love, networking, etc.
Featured in the Fox40 morning news, Good Day Sacramento, Sacramento Press, and SN&R;'s Best of Sacramento.
In addition to pickup games, we have full service coed leagues if you're itching for something more established and a way to really get plugged in. You'll have 30 new friends in just a couple weeks of playing in one of our leagues! Our RSVP count on meetup may not be high, but we're on many sites. Last dodgeball season we had 6 RSVPs and 300 people actually playing in the league.
We run coed Kickball, Dodgeball, Volleyball, Bowling, Softball, Soccer, Flag Football, Capture the Flag, pub crawls, parties, and more! More sports coming in the future.
Join our Facebook page: 



 "
SOCIAL SAN FRANCISCO,1,"Are you new to San Francisco? Have you been here forever but want to learn more? Then let's meetup and figure out this beautiful city together. Where are some of the places that make this the great city it is? What do the locals know that will give you the inside track? Are there places here, that locals have not even visited? Join us and have fun exploring, learning, visiting, hiking, eating and meeting other wonderful people from around the world. This is the group to join when you are new in town or just want to live. Most events are Free. See you all soon!"
Silicon Valley NewTech (SVNewTech),1,"The 13,000+ member strong SVNewTech Meetup, started in Jan '06. Meet other entrepreneurs, investors, bloggers, and tech enthusiasts who come together to network and watch demos of hot new technologies. We meet once a month, the first hour is company demos, the 2nd hour is networking. Food, wine, and beer are provided.
"
Just Friends,1,"We are a small group of friends who have been together for the last seven years. Sorry, we are not open to new members."
Bay Area Fun Fellows Club,1,"Welcome to Bay Area Fun Fellows Club! This group is for those who are looking for something new and fun to learn. Also feel free to suggest fun topics for teaching and learning!
"
SalsaCrazy's San Francisco Bay Area Salsa Dance Meetup,1,"Meet other local salsa dancers, would (and should) be salsa dancers, and everyone out to have a great time enjoying San Francisco Salsa Dance, Nightlife, Classes and Social Events.
This is the largest Salsa Meetup in the area, and we host some fantastic, fun, and social events around the San Francisco Bay Area.
You DO NOT need to know how to salsa!  We are a super friendly group, open to EVERYONE who even thinks they MIGHT be interested in Salsa Dance.  You show up, we'll take care of the rest.  Never any partner or any experience necessary, and an amazing amount of fun.
Join us at our next Meetup!
SalsaCrazy on Facebook - Join our Facebook Group(s): SalsaCrazy (Bay Area):  DanceSF (Salsa School): 
San Francisco Bay Area Salsa Dance Classes:  4 Week Progressive, Step by Step Salsa Classes No Partner and No Experience Necessary
Step By Step Salsa Dance Mastery System  Super Fast, Fun and Easy way to Learn Salsa! Bestselling Salsa Dance DVDs in the World...
Online Salsa Dance School, Online Vidoes & DVD  Fastest and Easiest Way to Learn how to Salsa!
San Francisco Bay Area Salsa Dance Information  Complete Calendar of Events, Clubs and Classes"
The Hammerin' Wheels Mountain Bike Club,1,"The Hammerin' Wheels are all about being active on your bicycle. We have events for riders of all levels, on both paved and unpaved trails/roads.
Our club is divided into 3 separate group sites.
You are currently on the Mountain bike site. Here you will find anything and everything to do with dirt! Most rides break into sub groups based on skill level.
If you want to hit the pavement at a ""casual"" pace you will want to visit "
The San Francisco Singles Social Group (40s & 50s),1,"Looking for other single 40 or 50-somethings in San Francisco to meet up with for drinks, dinner, socializing and maybe a little romance? If so, join this group and make suggestions for fun events, activities and meetings spots for singles.
Please note -- most of the members of this group are just looking for other folks to do fun activites with, and they happen to be single. Don't feel like you can't come to the events if you are not actively looking to date others."
San Francisco Wine Lovers Group,1,"This group is for the general public to enjoy wine and socialize. Whatever wine you like is OK here, because this group is not for the wine industry or the ""wine expert"" snobs. The organizer is not part of the wine industry and does not take money or gifts from the wine industry, e.g., no web site sponsors. Therefor, we don't promote or push any wine brands on our web site.
We only go to nice QUIET uncrowded venues. None of our photos are of paid professional models, just us. Our wine meetups are usually close to BART stations to make it easy for people around the Bay Area to attend.
This wine group puts the wine drinkers 1st, the wine 2nd, the wine industry 3rd, and the ""wine experts"" last. I have turned down all wine industry companies, about 20, offering me money to promote their services on this web site.
UNCORKING NEWS:  August 10th:  We go to the Barrel Room wine bar which recently moved to the historic building at 415 Sansome Street, San Francisco. 
Also, check out my other popular meetup below:
""Walking in San Francisco for Health and History""  Wine Quotation:
""Wine is made to be drunk as women are made to be loved; profit by the freshness of youth or the splendor of maturity; do not await decrepitude."" --- Theophile Malvezin."
Singles Adventures,1,"Singles Adventures is a fun, clique free, drama free, social and adventure group of super nice, friendly and active single professionals, mostly in their forties and fifties, that you actually want to have a conversation with. It's a fun, purely social meetup group, and NOT a ""hook-up"" group. We do lots of fun social activities, like themed house parties, dancing, happy hour mixers, Top Golf, Hawaiian Luau, music in the park, camping and boating, dining out, movie nights, white water rafting, kayaking, hiking, bicycling, wine tasting, day trips and discounted singles exclusive group travel adventures, with singles who also enjoy those things! Coming up, for some of our bigger events, we've got a fun NYE Party with a DJ, a day trip to South Lake Tahoe, a Super Bowl party with three viewing rooms and the back patio if weather permits, an unValentine's Party, a weekend getaway to Fort Bragg, a trip to Hawaii, a camping and boating weekend, and so much more! Come with us and join in on the all the fun and adventures with NO clicques and no drama!
To view the event details just join the group. Dues are only required when you attend your second event. Just mesaage me to attend your first event before paying dues and I will add you to the list, and make sure you're introduced around! Check us out on Facebook, Twitter, Google+ & Instagram!"
The Hammerin' Wheels Road Bike Club,1,"The Hammerin' Wheels are all about being active on your bicycle. We have events for riders of all levels, on both paved and unpaved trails/roads.
Our club is divided into 3 separate groups.
You are currently on the road bike site. Here you will find rides that vary in length and speed, this site is meant for cyclists who have combination of experience and/or some sort of athletic ability.
If you are interested in a more""casual"" ride you will want to visit "
Peninsula French Movies & More,1,"We are a group of movie fans united by our love of current -- and classic -- French films, and more. What's the ""more?"" Well, French Food, French Art -- whatever strikes our fancy. If you can't distinguish Mathieu Amalric from Mathieu Kassovitz, you're welcome! If you don't know the difference between the Nouvelle vague and Nouvelle cuisine, you're welcome! If you do know the differences, you're welcome! Whether you speak French fluently, a little, or not at all, you're welcome! All you need to join us is an interest and passion for French cinema and culture. 
Our base of operations will be the mid-Peninsula, taking advantage of the local Landmark and CineArts theaters, and extending to San Francisco and other Bay Area venues, when the programming is appropriate. Our goal is to see these movies as they were meant to be seen: On the big screen, with other fans! 
Our ""More"" activities may include visits to: local museums, farmers' markets, cooking schools, and other locations we haven't thought of, yet! This area is rich with French resources, and we want to explore them, together. 
NO-SHOW POLICY
After three no-shows, you will be removed from the group. This is to ensure fairness and quality of events. Many events have limited attendance; if you sign up but don't show, you are taking the place of someone who would have been happy to come instead. Changing your RSVP is a simple matter of courtesy and good manners and takes just a minute or two of your time. Please consider others who would very much like to attend events but never make it off the waiting list.
Kind regards,Fabrice"
The Walnut Creek Area Dining Out & Social Group,1,"Hi there!

The Walnut Creek Area Dining Out Meetup is about a few things:

1. People. We're all social people who enjoy making new freinds and having a good time and that's the first goal of our meetups. 
2. Good food. Whether it be an exciting new restaurant, ethnic food, high-end or a cheap-eat, or simply an easy favorite, this group is about enjoying food.  If there's a place you love, send a suggestion and we'll get it on the schedule!
3. Expand our world - whether through food, or people or through the mere act of getting out and doing something you might not normally do, getting together with a group of new people and getting to know each other is expanding your life beyond it's current place.  
4. Fun!  Most importantly, we're here to have fun.  This is an easy, pressure free way to have a good time relax, socialize, party, indulge... it's whatever we make it.

We'll aim for Thurs/Fri/Saturday meetups, but we're also going to have weekday meetups as well.

In addition, we won't always be having full ""dinner"" meetups.  Let's be honest - some of us enjoy a good plate of nachos over a couple of beers and cocktails.  Check our the calendar and see what's coming up!"
Bay Area Fun Events,1,"Got a photo of yourself? Ready to upload it with your application for membership? If so, get ready to enjoy fun and elegant mixers and dance parties for singles in the Bay Area. 
Ageism. Please don't join and then complain that people are too young or too old. Generally people are 25 up and in 30's, 40's & 50's. Some are younger than 25 and some are over 59! Ageist comments like ""there were too many wrinkles"" are not cool.
***IMPORTANT *** To join, be sure answer ALL PROFILE QUESTIONS. (Scroll down to see all questions). Join our Leadership Team! If you are interested in co-hosting an event, you can also participate.  Want to be an Event Organizer?  Join our leadership team. Call Phil and let him know you would like to participate.
Call or Text Phil at 925-888-4392  -- tell him your screen name so he can make you an event organizer.

We work closely with other organizations including Professionals Guild.as well as other groups hosting fun events!. We support the Seva Foundation by co-sponsoring the SINGLES CHARITY BALL and we help cure many blind people in the poor countries of the world. 
Our New Years Eve parties feature a live bands and a DJ, Casino Gaming, Party Favors, and amazingly hotel room rates with breakfast for 2 at the San Ramon Marriott, and the Hyatt Regency Santa Clara. We actually have 2 beautiful Bay Area hotels reserved for us. 
The FastTimes Band (above) is one of the bands that has played for us on New Year's. We are also working with other great bands, like the Groove Doctors.
See our Bay Area New Years Eve Youtube video at "
Bay Area FUN and Adventure Group!!,1,"We are a meetup group dedicated to host fun, social and networking events in a friendly, relaxed and quality environment. We are a group of professionals who love to socialize, meet new people and have fun. Some of us are entrepreneurs, start-ups and established companies achieving better success in their business through networking and socializing with other professionals."
SF Dives,1,"We like to eat, drink, meet new and old friends in different restaurants or go to a happy hour mixers. Sometime, we have live music events or do anything that is fun with reasonable price events, and some events are ""free""! Life is tough as it's, we're here to laugh and have fun!"
Let's hike and maybe take a break if we get tired,1,"This group is for all ages.Hike anywhere around the Bay Area (from San Francisco to Santa Barbara).We offer local hikes that meet on the weekends. These hikes are generally from 6-8 miles and easy to moderate. Some of our hikes will be longer.
FOR THIS GROUP ONLY: We will plan longer hikes(10-15 miles) and backpacking, camping, ATV.....moreMembers are encouraged to have social events for the group as well. If you have a location or event you would like to suggest for members please contact the organizer or post to the message board.[color=darkred]Our organizer team would like to ask our members to make thing easier for us to manage this group. We are asking you NOT to RSVP ""NO"" if you don't want to come to an event. If you have to change from a ""YES"" to a ""NO"", please don't explain why you can't (we understand you have better thing to do :) or simply just can't make it). Also, we will removed all the ""may be"" from our events.[/color]Beside, You will have too many ""NO"" on your profile and most organizers won't approve your memberships to other groups based on your status.[b][color=darkred]Our Policy is for 3 ""NO SHOW"" and you will be removed from the group regardless.[/color][/b]"
Social Lounge - LGBT,1,"Welcome to the Social Lounge! We are an inclusive group for lesbian, bisexual, gay, and transgender. We are diverse in ages, gender & ethnicity.
This group will meet a few times a month. Whether it is a dinner, bbq's, literary night or a hike. We try to be eclectic with the events we choose, so everyone may have an opportunity to attend a meetup that is interesting for them. Additionally, a photo of yourself is requested, however we also understand your need for privacy or ""not being out"" and a picture of your pet or something else is perfectly fine! The organizers reserve the right to accept or reject members at their discretion.
Our Groups Mission: To build a network of friends in the LGBT community, in a comfortable atmosphere where we can truly be ""ourselves.""
Also, if you decide to attend any events, which we hope you do of course, please make sure to map the location and/or get the phone number of the organizer of that specific event so you don't get lost! As usual, we do let the host, ranger, or door person know where our Meetup group is in case you ask them in the case of events at parks or larger locations.
We appreciate your support!"
