name,description,topics
Decriminalize Prostitution!,"<p>We're a group of sex workers, clients, taxpayers, freedom lovers, and people from all walks of life working together to stop the immoral, wasteful, and futile practice of arresting and prosecuting consensual sexual acts. Thank you to everyone who helped work to pass Proposition K on the November 2008 ballot here in San Francisco to decriminalize prostitution! While we were unsuccessful this time, we did receive over 41% of the vote, and served notice once again that our movement is not going away. Next time, Liberty willing, we will win! In the meantime, the ongoing work of organizing the sex work community and supporting each other when we are targeted by government or public intolerance, bigotry, or greed for our justly acquired earnings continues... If you are new to this movement, some helpful additional information and resources can be found on the websites of the Prostitutes Education Network (http://www.bayswan.org/), the Sex Workers Outreach Project (http://www.swop-usa.org), Erotic Service Providers Union (http://www.espu-ca.org), and Californians for Privacy (http://www.californians4privacy.us/). Thank you for your interest and participation in this Meetup!</p>","[{u'name': u'Libertarian', u'urlkey': u'libertarian', u'id': 99}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Prochoice', u'urlkey': u'prochoice', u'id': 1708}, {u'name': u'Civil Rights', u'urlkey': u'civilrights', u'id': 3508}, {u'name': u'Fight Human Trafficking', u'urlkey': u'trafficking', u'id': 7241}, {u'name': u'Local Politics', u'urlkey': u'localpolitics', u'id': 8867}, {u'name': u'Freedom', u'urlkey': u'freedom', u'id': 18432}, {u'name': u'Sex Workers', u'urlkey': u'sex-workers', u'id': 19526}, {u'name': u'Hobbyists', u'urlkey': u'hobbyists', u'id': 54059}, {u'name': u'Decriminalize', u'urlkey': u'decriminalize', u'id': 1515469}, {u'name': u'Erotic Service Providers', u'urlkey': u'erotic-service-providers', u'id': 1515470}, {u'name': u'Clients', u'urlkey': u'clients', u'id': 1515471}]"
Sonoma County ACLU Meetup,<p>Anyone interested in protecting civil rights. Join the Sonoma County chapter of the ACLU for our monthly meeting.</p>,"[{u'name': u'ACLU', u'urlkey': u'aclu', u'id': 1115}, {u'name': u'Civil Rights', u'urlkey': u'civilrights', u'id': 3508}]"
"About Face, Sac; Prev: Iraq Vets Againts The War & Ruckus","<p>New Active Social Peaceful Protest Group of Like Minds, Sacramento Action Activist Group of Veterans &amp; Civilians Againts the Military/Industrial Complex; Against Trump, Against GOP Extremist, Against White Supremacists, Against Russia Influence, and Against Corporate Government Control &amp; Greed, Against Racial, Religion, Gender, &amp; LGBTIQ Discrimination.</p> 
<p>In support of Equal Human Rights (racial, LGBTIQ: all genders, orientation, identity, non gender binary, and marriage equality), Affordable Medical Coverage for all, Free Education, Global Warming is Real, supporting groups such as Love is Love, BLM Sac, Sac Democrats, Ruckus Society, Iraq Vets Against the War, &amp; Together We Rise Sac! We support peaceful marches and demonstrations, with the goal of deconstructing the giant Pharmaceutical, and War Industrial Corporate Complex!</p>","[{u'name': u'Democratic Party', u'urlkey': u'democrat', u'id': 96}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Liberals', u'urlkey': u'liberal', u'id': 2178}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Civil Rights', u'urlkey': u'civilrights', u'id': 3508}, {u'name': u'Liberal Democrat', u'urlkey': u'libdem', u'id': 3606}, {u'name': u'Local Politics', u'urlkey': u'localpolitics', u'id': 8867}, {u'name': u'Progressive Democrats of America', u'urlkey': u'pdamerica', u'id': 10128}, {u'name': u'Grassroots Progressives', u'urlkey': u'grassrootsprog', u'id': 10190}, {u'name': u""Women's Rights"", u'urlkey': u'womens-rights', u'id': 15910}, {u'name': u'Environmental Activism', u'urlkey': u'environmental-activism', u'id': 18721}, {u'name': u'Activism', u'urlkey': u'activism', u'id': 19197}, {u'name': u'Political Activism', u'urlkey': u'political-activism', u'id': 19690}, {u'name': u'Advocacy', u'urlkey': u'advocacy', u'id': 31282}, {u'name': u'Progressives', u'urlkey': u'wisconsin-progressives', u'id': 528482}]"
RESULTS - Global and Domestic  Activists,"<p>RESULTS is a citizen mostly volunteer Advocacy group- who for the past 35 years has been committed to the eradication of poverty and related issues wherever it exists . We achieve our goals by changing the public and the political will. Meaning - we work directly with members of congress , NGO's , and the Media to affect changes that will make the most difference to the most vulnerable among us all over the globe - in areas like , education, Healthcare, earned -income tax credits, SNAP, Immunizations , Eradicating AIDS, TB and Malaria, improving Maternal and Child Health Outcomes .</p> 
<p>Who should join is anyone who shares these commitments, who may be feeling frustrated and powerless especially during the time of political confusion in this country and abroad - Anyone who has four hours free a month and anyone who feels that they cannot make a difference in the world or don't make a difference . We know each of us counts and we support you to know it too!</p>","[{u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Civil Rights', u'urlkey': u'civilrights', u'id': 3508}, {u'name': u'Local Politics', u'urlkey': u'localpolitics', u'id': 8867}, {u'name': u'Community Organizations', u'urlkey': u'communityorg', u'id': 10485}, {u'name': u'Community', u'urlkey': u'community', u'id': 15227}, {u'name': u'Volunteering', u'urlkey': u'volunteering', u'id': 16645}, {u'name': u'Environmental Activism', u'urlkey': u'environmental-activism', u'id': 18721}, {u'name': u'Community Service', u'urlkey': u'community-service', u'id': 18866}, {u'name': u'Activism', u'urlkey': u'activism', u'id': 19197}, {u'name': u'Political Activism', u'urlkey': u'political-activism', u'id': 19690}, {u'name': u'Healthy Living', u'urlkey': u'healthy-living', u'id': 20221}, {u'name': u'Community Building', u'urlkey': u'community-building', u'id': 20727}, {u'name': u'Healthcare Innovation', u'urlkey': u'healthcare-innovation', u'id': 154951}]"
Ethical Culture Society of Silicon Valley,"<p><span>We are a democratic fellowship for people seeking a rational, compassionate philosophy of life without regard to belief or&nbsp;non belief in a supreme being. &nbsp;We value the importance of living ethical, responsible, and socially connected lives. </span></p>
<p><span>Together, we do service projects that benefit the larger community, including cleaning up the Bay, food sorting, collecting items for the homeless, and helping disadvantaged families. </span></p>
<p><span>We welcome people from a variety of religious backgrounds. &nbsp;Some consider themselves humanists, atheists, or agnostics. </span><span>Our emphasis is on what we DO to make the world a better place individually and together.</span></p>
<p><span>We discuss ethical dilemmas that arise in our lives, hold programs to learn about ourselves, each other, and the issues of the day. </span><span>We seek to be fully engaged in the community and the world. </span></p>
<p><strong><span>If you seek social events, social action and a socially-minded community, share your passion and join us!</span></strong></p>
<p><span>For more information, visit our website at: &nbsp;<a href=""http://ecssv.org/"">ecssv.org</a></span></p>","[{u'name': u'Atheist', u'urlkey': u'atheists', u'id': 596}, {u'name': u'Philosophy', u'urlkey': u'philosophy', u'id': 849}, {u'name': u'Agnostic', u'urlkey': u'agnostic', u'id': 1374}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Ethics', u'urlkey': u'ethics', u'id': 1768}, {u'name': u'Intellectual Discussion', u'urlkey': u'intellectual-discussion', u'id': 15083}, {u'name': u'Community', u'urlkey': u'community', u'id': 15227}, {u'name': u'Critical Thinking', u'urlkey': u'critical-thinking', u'id': 15544}, {u'name': u'Personal Development', u'urlkey': u'personal-development', u'id': 16468}, {u'name': u'Social Justice', u'urlkey': u'social-justice', u'id': 17986}, {u'name': u'Secular', u'urlkey': u'secular', u'id': 39294}, {u'name': u'Social Action', u'urlkey': u'social-action', u'id': 50722}, {u'name': u'Humanist', u'urlkey': u'humanist', u'id': 52997}, {u'name': u'Nontheistic', u'urlkey': u'nontheistic', u'id': 221471}, {u'name': u'Ethical Humanism', u'urlkey': u'ethical-humanism', u'id': 1511979}]"
Decriminalize Prostitution!,"<p>We're a group of sex workers, clients, taxpayers, freedom lovers, and people from all walks of life working together to stop the immoral, wasteful, and futile practice of arresting and prosecuting consensual sexual acts. Thank you to everyone who helped work to pass Proposition K on the November 2008 ballot here in San Francisco to decriminalize prostitution! While we were unsuccessful this time, we did receive over 41% of the vote, and served notice once again that our movement is not going away. Next time, Liberty willing, we will win! In the meantime, the ongoing work of organizing the sex work community and supporting each other when we are targeted by government or public intolerance, bigotry, or greed for our justly acquired earnings continues... If you are new to this movement, some helpful additional information and resources can be found on the websites of the Prostitutes Education Network (http://www.bayswan.org/), the Sex Workers Outreach Project (http://www.swop-usa.org), Erotic Service Providers Union (http://www.espu-ca.org), and Californians for Privacy (http://www.californians4privacy.us/). Thank you for your interest and participation in this Meetup!</p>","[{u'name': u'Libertarian', u'urlkey': u'libertarian', u'id': 99}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Prochoice', u'urlkey': u'prochoice', u'id': 1708}, {u'name': u'Civil Rights', u'urlkey': u'civilrights', u'id': 3508}, {u'name': u'Fight Human Trafficking', u'urlkey': u'trafficking', u'id': 7241}, {u'name': u'Local Politics', u'urlkey': u'localpolitics', u'id': 8867}, {u'name': u'Freedom', u'urlkey': u'freedom', u'id': 18432}, {u'name': u'Sex Workers', u'urlkey': u'sex-workers', u'id': 19526}, {u'name': u'Hobbyists', u'urlkey': u'hobbyists', u'id': 54059}, {u'name': u'Decriminalize', u'urlkey': u'decriminalize', u'id': 1515469}, {u'name': u'Erotic Service Providers', u'urlkey': u'erotic-service-providers', u'id': 1515470}, {u'name': u'Clients', u'urlkey': u'clients', u'id': 1515471}]"
Politically Inspired Book Club,"<p>Interested in human rights and social justice? Unsure as to the direction of our political, social and economic institutions?</p>
<p>And are you looking for fellow humans to meet and encourage learning and help inspire change?</p>
<p>In this book club, we encourage each other to learn more, discuss ideas, challenge each other and teach each other. Together we explore nonfiction, memoir and fiction books that we collectively choose. We may also follow up our book club meeting with a tea or a beer down the street.</p>
<p>We meet in cafes or bookstores in the Mountain View/Palo Alto area. &nbsp;Our go-to for the monthly book meeting is Books Inc, 301 Castro St, Mountain View- their staff have been very accommodating! &nbsp;You can buy our monthly books from our book club webpage on their website, http://www.booksinc.net/politcally-inspired-book-club</p>
<p>The environment we hold for our discussions is open and compassionate. Recognizing and honoring the different beliefs and political viewpoints, and seeking best to understand and explore. Six principles for dialogue:</p>
<p>6 principles common to most dialogue and circle groups guide the conversations: <br> . Suspend judgment as best you can <br> . Respect one another <br> . Seek to understand rather than persuade <br> . Invite and honor diversity of opinion <br> . Speak what has personal heart and meaning <br> . Go for honesty and depth without going on and on</p>
<p>Let's get Inspired!</p>","[{u'name': u'Peace', u'urlkey': u'peace', u'id': 1544}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Book Club', u'urlkey': u'bookclub', u'id': 2767}, {u'name': u'Politics', u'urlkey': u'politics', u'id': 4377}, {u'name': u'Local Politics', u'urlkey': u'localpolitics', u'id': 8867}, {u'name': u'Social', u'urlkey': u'social', u'id': 10581}, {u'name': u'Reading', u'urlkey': u'reading', u'id': 15360}, {u'name': u'Readers', u'urlkey': u'readers', u'id': 17219}, {u'name': u'Social Justice', u'urlkey': u'social-justice', u'id': 17986}, {u'name': u'Global Citizenship', u'urlkey': u'global-citizenship', u'id': 18740}, {u'name': u'Activism', u'urlkey': u'activism', u'id': 19197}, {u'name': u'Political Activism', u'urlkey': u'political-activism', u'id': 19690}, {u'name': u'Social Issues', u'urlkey': u'social-issues', u'id': 31364}, {u'name': u'Social and Political Activism', u'urlkey': u'social-and-political-activism', u'id': 80680}]"
Bay Area International Development Group,"<p>A lot of good work is being done from within the Bay Area to address global development issues. This Group serves as a space where those involved in and dedicated to this work can commune, share and socialize.</p>","[{u'name': u'Environment', u'urlkey': u'environment', u'id': 89}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Nonprofit', u'urlkey': u'nonprofit', u'id': 1726}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'International Professionals', u'urlkey': u'international-professionals', u'id': 18912}, {u'name': u'Bay Area', u'urlkey': u'bay-area', u'id': 22973}, {u'name': u'International development', u'urlkey': u'international-development', u'id': 24606}, {u'name': u'Microfinance', u'urlkey': u'microfinance', u'id': 25161}, {u'name': u'Community development', u'urlkey': u'community-development', u'id': 37972}, {u'name': u'public health', u'urlkey': u'public-health', u'id': 44635}, {u'name': u'Socially Responsible Business', u'urlkey': u'socially-responsible-business', u'id': 78007}, {u'name': u'Youth and Education', u'urlkey': u'youth-and-education', u'id': 150614}]"
Balanced View San Francisco,"<p> <br></p>
<p><span>Welcome!</span> <br></p>
<p> It is every single person's birthright to enjoy mental and emotional stability and live in a peaceful world. It is up to each one of us!</p>
<p>The grassroots movement of Balanced View offers a unique education that guarantees immediate benefit and empowerment in our own experience. A simple practice, training, trainer and a&nbsp;global community support us to know our beneficial potency in all life's circumstances.&nbsp; <br> <br>Trainers who have successfully applied this training will lead the meeting, answer questions and share their own direct experience. &nbsp;</p>
<p>If you are new to the Balanced View Training the Open Meetings are perfect to drop by to, and apply for One Day Trainings through the week to explore more.</p>
<p>A great place to start is to watch some talks from our Balanced View Bristol You Tube channel. Enjoy!&nbsp;</p>
<p>All are welcome!</p>
<p>For further information visit...</p>
<p><a href=""http://www.balancedview.org/en/"">Our website</a>:&nbsp;<a href=""http://balancedview.com/"">balancedview.</a>org</p>
<p><a href=""http://www.Bright.how"">www.Bright.how</a><br></p>
<p><a href=""https://www.facebook.com/pages/Balanced-View-UK/228145090553734"">The Balanced View San Francisco Facebook page</a>&nbsp;<a href=""https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl"">https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl</a><a href=""https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl""></a><a href=""https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl""></a></p>
<p>Or contact The Organizer</p>
<p>*The suggested contribution for Open Meetings is $10 to $20 All are welcome regardless of ability to contribute.</p>
<p>We look forward to meeting you!</p>","[{u'name': u'Peace', u'urlkey': u'peace', u'id': 1544}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Consciousness', u'urlkey': u'consciousness', u'id': 4417}, {u'name': u'Life Transformation', u'urlkey': u'lifetransform', u'id': 8702}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Stress Relief', u'urlkey': u'stress-relief', u'id': 17075}, {u'name': u'Social Justice', u'urlkey': u'social-justice', u'id': 17986}, {u'name': u'Life Coaching', u'urlkey': u'life-coaching', u'id': 18692}, {u'name': u'Healthy Living', u'urlkey': u'healthy-living', u'id': 20221}, {u'name': u'Self Exploration', u'urlkey': u'self-exploration', u'id': 29158}, {u'name': u'Self-Empowerment', u'urlkey': u'self-empowerment', u'id': 38757}, {u'name': u'Transformative Social Change', u'urlkey': u'transformative-social-change', u'id': 42704}, {u'name': u'Sustainable Development', u'urlkey': u'sustainable-development', u'id': 47570}]"
Sac Feminists,"<p>Feminists come here to connect, find safe space, educate themselves, and educate each other on feminist issues. <br></p>
<p>We put on unique events for members of Sac Feminists, and we also cross-post events from other local progressive organizations so that members can see a lot of opportunities to get involved and connect. <br></p>
<p>If you have an idea for a meetup, get in touch with the organizers. <br></p>
<p>(In order to be approved as a member, you must answer the profile questions and have a picture of your face in your profile.) <br></p>
<p> <br></p>
<p> <br></p>","[{u'name': u'Feminism', u'urlkey': u'feminism', u'id': 312}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Politics', u'urlkey': u'politics', u'id': 4377}, {u'name': u'LGBT', u'urlkey': u'lgbtfriends', u'id': 10050}, {u'name': u'Social Movements', u'urlkey': u'movement', u'id': 10460}, {u'name': u'Community', u'urlkey': u'community', u'id': 15227}, {u'name': u""Women's Rights"", u'urlkey': u'womens-rights', u'id': 15910}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Social Justice', u'urlkey': u'social-justice', u'id': 17986}, {u'name': u'Activism', u'urlkey': u'activism', u'id': 19197}, {u'name': u'Community Building', u'urlkey': u'community-building', u'id': 20727}, {u'name': u'Feminist', u'urlkey': u'feminist', u'id': 37271}, {u'name': u'Reproductive Health and Social Justice', u'urlkey': u'reproductive-health-and-social-justice', u'id': 61499}, {u'name': u'LGBTQ', u'urlkey': u'lgbtq', u'id': 64804}, {u'name': u'Gender Equality', u'urlkey': u'gender-equality', u'id': 102002}]"
