name,description,topics
BALANCED - Mood Disorder Support,"<p>Local Resources &amp; Educational Links : <a href=""http://www.meetup.com/Balanced-A-Bipolar-Support-Group-Sacramento/about/""></a><a href=""http://www.meetup.com/Balanced-A-Bipolar-Support-Group-Sa""></a><a href=""http://www.meetup.com/Balanced-A-Bipolar-Support-Group-Sa""></a><a href=""http://www.meetup.com/Balanced-A-Bipolar-Support-Group-Sa""></a><a href=""http://www.meetup.com/""></a><a href=""http://www.meetup.com/""></a><a href=""http://www.meetup.com/"">Click on ""PAGES"" above</a></p>
<p>Our support group is designed to support anyone affected by mood disorders who want practical tools to improve their quality of life. We welcome anyone who wants to learn more from people within the community who have experience.</p>
<p>There are many methods one can use to manage symptoms. Our focus is to share our journey together, and help people find methods that are relevant to their lifestyle. As a team, we'll review tools that have been effective for other members and families.&nbsp;We look forward to meeting you, understanding your challenges and helping you reach your full human potential.</p>
<p>The link above will connect you with information links our group has found informative, and helpful. If you are seeking more information, click on the link, scroll down, and explore the links at the bottom-left side of the webpage.</p>
<p><strong>Meeting Information:</strong></p>
<p><strong>Frequency: Wednesday - every week</strong></p>
<p><strong>Time: 7:00PM to 8:30PM</strong></p>
<p><strong>Place: Trinity Lutheran Church - 1500 27th Street, Sacramento CA 95816</strong></p>","[{u'name': u'Bipolar Disorder', u'urlkey': u'bipolar', u'id': 892}, {u'name': u'Mental Health Professionals', u'urlkey': u'mentalhealthpro', u'id': 987}, {u'name': u'Depression', u'urlkey': u'depression', u'id': 1079}, {u'name': u'Cognitive Behaviour Therapy', u'urlkey': u'cognitive-behaviour-therapy', u'id': 15598}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Dialectical Behavior Therapy - DBT', u'urlkey': u'dialectical-behavior-therapy-dbt', u'id': 39968}, {u'name': u'Anxiety', u'urlkey': u'anxiety-support', u'id': 48057}, {u'name': u'Bipolar Ministry', u'urlkey': u'bipolar-ministry', u'id': 61854}, {u'name': u'Balanced Life', u'urlkey': u'balanced-life', u'id': 86810}, {u'name': u'Bipolar Support Group', u'urlkey': u'bipolar-support-group', u'id': 115297}, {u'name': u'managing bipolar', u'urlkey': u'managing-bipolar', u'id': 156356}, {u'name': u'Family members of people with bipolar disorder', u'urlkey': u'family-members-of-people-with-bipolar-disorder', u'id': 200751}, {u'name': u'Couples affected by bipolar disorder', u'urlkey': u'couples-affected-by-bipolar-disorder', u'id': 200771}]"
"Group for Depression, Anxiety and Stress","<p><span>Do you have anxiety, stress, depression, or had too many losses?</span><br></p>
<p>This group can help.</p>
<p>I've decided to start a meetup group in my area to meet more people and let them know about the drug-free ways in which they can overcome these often life crippling effects.</p>
<p>The purpose of our group is to help people to understand what is going on when they experience stress or anxiety or have a traumatic loss and how to overcome it without the use of prescription drugs. <br></p>
<p>If you are interested in handling depression, anxiety or stress for yourself or another and you don't want to see a psychiatrist or take medications then this is the group for you.</p>
<p>Call Tony at (916) 519-5287 for more information.</p>
<p>Member-to-member Connections:&nbsp; In all of our meetup events, the first hour is a class about self improvement, and then afterward the members will break into individual discussions about the specifics of their issues and situations.</p>
<p>Affiliation:&nbsp; I'm a Buddhist as well as a member of the Church of Scientology.&nbsp; I have searched various methods for solutions for my own difficulties and emotional issues, and finally the one place I've observed where people actually learned effective self improvement tools, and where people really changed their lives to the better, was the the local non-profit organization, the Church of Scientology. It is where I do volunteering work nowadays, and it is also where the meetups for this group will take place.</p>
<p>Activities:&nbsp; We'll have weekly meetup events where members can attend.&nbsp; The class part of the meetup events usually will be lectures about how to overcome traumatic experiences or how to better relationships. <br></p>
<p>Interests:&nbsp; We're interested in learning about self improvement, and receiving and giving support for each other.</p>
<p>Membership requirement:&nbsp; Members must be interested in self improvement and in taking actions to do something about ones' own conditions.</p>
<p>Intention:&nbsp; My intention is to provide support for people who would like to DO something about their depression, anxiety, or stress.&nbsp; My intention is NOT to have a group where members pity each other and then do nothing. <br></p>","[{u'name': u'Depression', u'urlkey': u'depression', u'id': 1079}, {u'name': u'Divorce Support', u'urlkey': u'divorcesupport', u'id': 1570}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Life Transformation', u'urlkey': u'lifetransform', u'id': 8702}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Self-Help', u'urlkey': u'self-help', u'id': 16651}, {u'name': u'Stress Relief', u'urlkey': u'stress-relief', u'id': 17075}, {u'name': u'Marital Separation Support', u'urlkey': u'marital-separation', u'id': 17917}, {u'name': u'Social Anxiety', u'urlkey': u'social-anxiety', u'id': 18575}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Self Exploration', u'urlkey': u'self-exploration', u'id': 29158}, {u'name': u'Self-Empowerment', u'urlkey': u'self-empowerment', u'id': 38757}, {u'name': u'Anxiety, Depression and Panic', u'urlkey': u'anxiety-depression-and-panic', u'id': 41951}, {u'name': u'Anxiety', u'urlkey': u'anxiety-support', u'id': 48057}, {u'name': u'Confidence and Self-Esteem', u'urlkey': u'confidence-and-self-esteem', u'id': 63753}]"
Depression Bipolar Support Alliance Palo Alto,"<p>DBSA Palo Alto has served our community for over 20 years. We meet every Wednesday 6:30 - 8:30 p.m. The number of responses on this Meetup site is not a good indicator of how many people will attend. Our meetings usually have 20-25 participants. Come, join us.</p>
<p>DBSA Palo Alto is a peer-run support group. We provide hope, help, support and education to help improve the lives of people who have mood disorders. Our meetings offer warm, non-judgmental and confidential support. We encourage our members by sharing our stories and offering information about community resources to help us help ourselves. We understand the challenges of dealing with a mental illness. We've been there. We can help. Our meetings are free, safe, confidential and informative.</p>","[{u'name': u'Bipolar Disorder', u'urlkey': u'bipolar', u'id': 892}, {u'name': u'Depression', u'urlkey': u'depression', u'id': 1079}, {u'name': u'Support Group', u'urlkey': u'support-group', u'id': 15275}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Anxiety', u'urlkey': u'anxiety-support', u'id': 48057}, {u'name': u'Mood Disorder', u'urlkey': u'mood-disorder', u'id': 57670}]"
Wellness Toastmasters,"<p>Passionate about wellness? Want to improve your communication skills? Join our fun events.</p>
<p>We meet 1st and 3rd Mondays of the month.</p>
<p>Look forward to meeting you!&nbsp;</p>","[{u'name': u'Fitness', u'urlkey': u'fitness', u'id': 242}, {u'name': u'Meditation', u'urlkey': u'meditation', u'id': 1322}, {u'name': u'Toastmasters', u'urlkey': u'toastmasters', u'id': 3307}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Public Speaking', u'urlkey': u'publicspeaking', u'id': 9300}, {u'name': u'Nutrition', u'urlkey': u'nutrition', u'id': 10161}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Leadership', u'urlkey': u'leadership', u'id': 15121}, {u'name': u'Stress Relief', u'urlkey': u'stress-relief', u'id': 17075}, {u'name': u'Alternative Medicine', u'urlkey': u'alternative-medicine', u'id': 17150}, {u'name': u'Healthy Living', u'urlkey': u'healthy-living', u'id': 20221}, {u'name': u'Communication Skills', u'urlkey': u'communication-skills', u'id': 20923}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Exercise', u'urlkey': u'excercise', u'id': 25375}, {u'name': u'Disease Prevention', u'urlkey': u'disease-prevention', u'id': 29290}, {u'name': u'Collaboration between Creative Minds', u'urlkey': u'collaboration-between-creative-minds', u'id': 29526}]"
Mental Health 2.0,"<p><span>This is a group for anyone interested in technology and mental health. In the past couple of years, we have seen movement of Health Tech in Silicon Valley; however, mental health is still barely covered. This is a group for people who care about bridging the gap between mental health and technology - may it be advancement of treatment, reducing stigma, or brainstorming for new ideas to help people who are suffering. Looking forward to meeting people who are equally interested in solving some of the tough problems in mental health system.</span> <br> <br> <span>There are 3 tracks Mental Health 2.0 aims to cover:</span> <br> <br> <span>1. Cultivate Innovation in Mental Health</span> <br> <span>2. Activism &amp; Advocacy</span> <br> <span>3. Literacy and Understanding of MH</span> <br> <br> <span>We believe these 3 tracks are interconnected and are equally important to be covered by this group.</span></p>
<p>Mental Health 2.0 is not affiliated with Health 2.0, LLC.</p>","[{u'name': u'Mental Health Professionals', u'urlkey': u'mentalhealthpro', u'id': 987}, {u'name': u'Neuroscience', u'urlkey': u'neuroscience', u'id': 6960}, {u'name': u'Entrepreneurship', u'urlkey': u'entrepreneurship', u'id': 19882}, {u'name': u'Startup Businesses', u'urlkey': u'startup-businesses', u'id': 21681}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Computer programming', u'urlkey': u'computer-programming', u'id': 48471}, {u'name': u'Mental Illness Awareness', u'urlkey': u'mental-illness-awareness', u'id': 55711}, {u'name': u'Cognitive Science', u'urlkey': u'cognitive-science', u'id': 63863}, {u'name': u'Mental Health Support', u'urlkey': u'mental-health-support', u'id': 69470}, {u'name': u'Mental Health Advocacy', u'urlkey': u'mental-health-advocacy', u'id': 108166}, {u'name': u'Health 2.0', u'urlkey': u'health-2-0', u'id': 114539}, {u'name': u'Healthcare Innovation', u'urlkey': u'healthcare-innovation', u'id': 154951}]"
The Counselor Collective,"<p><b>Are YOU A Mental Health Professional?</b> <br></p>
<p>Greetings and welcome to the Counselor Collective! &nbsp;We are looking for mental health professionals such as therapists/counselors, social workers, psychologists, who are interested in meeting up for fun social events, as well as for learning/workshop events. &nbsp;</p>
<p><img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/7/0/2/5/600_435688709.jpeg""></p>
<p> <br></p>
<p>The unique quality of our group is that&nbsp;<i>meetups are fueled by our members.</i>&nbsp; What that means is that if you would like to organize a group, YOU ARE WELCOME TO POST IT! &nbsp;Just let us know that you would like to start posting events and we will get you started. &nbsp;&nbsp; <br></p>
<p><img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/b/f/4/7/600_433248967.jpeg""></p>
<p> <br></p>
<p><span>Hope to see you at a meetup soon! &nbsp;</span> <br></p>
<p> <br></p>
<p>Joey Yamada, LMFT</p>
<p> <br></p>
<p> ***If you are LOOKING&nbsp;to hire a mental health professional,&nbsp;<a href=""http://www.meetup.com/TheCounselingConnection/pages/Counselor_and_Therapist_Referral_Information/"">Click here for more information about our therapist and counselor referrals.</a>&nbsp; You can also email me at awesomecounselingsacramento@gmail.com for more information.&nbsp; <br></p>
<p> <br></p>
<p><img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/e/2/d/8/600_345958072.jpeg""></p>
<p> <br></p>","[{u'name': u'Mental Health Professionals', u'urlkey': u'mentalhealthpro', u'id': 987}, {u'name': u'Depression', u'urlkey': u'depression', u'id': 1079}, {u'name': u'Borderline Personality Disorder', u'urlkey': u'bpd', u'id': 2821}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Psychology', u'urlkey': u'psychology', u'id': 3485}, {u'name': u'Social Networking', u'urlkey': u'socialnetwork', u'id': 4422}, {u'name': u'Social', u'urlkey': u'social', u'id': 10581}, {u'name': u'ADHD', u'urlkey': u'adhd', u'id': 12126}, {u'name': u'Psychotherapy', u'urlkey': u'psychotherapy', u'id': 15911}, {u'name': u'Stress Relief', u'urlkey': u'stress-relief', u'id': 17075}, {u'name': u'Social Anxiety', u'urlkey': u'social-anxiety', u'id': 18575}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Anxiety', u'urlkey': u'anxiety-support', u'id': 48057}, {u'name': u'Mental Health Support', u'urlkey': u'mental-health-support', u'id': 69470}]"
Mental Health & Wellness-Recovery Internat'l Sacramento Area,"<p><b>Welcome to Mental Health and Wellness - Recovery International (RI).</b></p>
<p><b>We are a free self-help program</b> helping people deal with fear, anger, anxiety, panic attacks, depression and other emotional issues. The meetings consist of ""Peers Helping Peers"" achieve better mental health by using a simple form of cognitive behavioral self-help techniques (Recovery Method). We learn how to change our thinking. The leaders are not mental health professionals, but members themselves trained to lead the meetings. To find out more, we have a list of helpful terms, how examples are given, what happens at a meeting, etc. for you; click on the Pages link under the blue title above. &lt;br&gt;</p>
<p>All of our meetings provide:</p>
<p><b> Reassurance and fellowship</b> through meeting friendly people with similar problems who have found a way to live happier, healthier lives. &lt;br&gt; &lt;br&gt;<b> There is no fee, to attend Recovery International meetings</b>. You are always welcome. &lt;br&gt; &lt;br&gt;<b>Understanding</b> of your situation. &lt;br&gt; &lt;br&gt;<b>A safe place</b> to express your feelings without being judged. &lt;br&gt; &lt;br&gt;<b>Hope</b> from others who have bettered their lives. &lt;br&gt; &lt;br&gt;<b>Support and acceptance</b> that may be lacking at home, work or school. &lt;br&gt; &lt;br&gt;<b>Self-help</b> through learning and practicing a simple set of living skills. &lt;br&gt; &lt;br&gt;<b>Encouragement</b> and support. &lt;br&gt; &lt;br&gt;<a href=""http://www.recoveryinternational.org/meetings/"">copied from </a><a href=""http://www.recoveryinternational.org/meetings/"">http://www.recoveryin</a>...</p>
<p>Regular meetings in the Sacramento, CA Area, last from 1.5 - 2 hours, and are open to everyone 18 years of age and older. There is no charge to attend any meeting; we pass a basket for voluntary contributions. We are a non-profit organization headquartered in Chicago. You can also visit our website at</p>
<p><a href=""http://www.recoveryinternational.org"">www.recoveryinternational.org</a></p>
<p>for more information on Recovery's tools, 4 step example process, and stories of hope.</p>
<p><b>The meetings repeat each week at the same time and location. An RSVP is NOT required to attend. It is not a requirement to attend a newcomer meeting before attending any meetings. &lt;br&gt;</b></p>
<p><b>To talk to someone in Sacramento for more Information, call (916) 483-5616</b></p>
<p><b>Meeting Schedule: </b></p>
<p><b>Newcomers/Beginners Meeting: &lt;br&gt; </b></p>
<p><b>Wednesday 6:00-6:30 pm,</b> 5445 Laurel Hills Drive, Room 306 behind Gymnasium, <b>Sacramento, CA 95841 </b>For questions call Rick at (530) 647-1110 &lt;br&gt;</p>
<p><b>Regular Meetings:</b></p>
<p><b>Sunday, 2-4pm, </b>Contact Carolyn for questions: (916) 344-4889, Heritage Oaks Office Building. &lt;br&gt;</p>
<p><b>Sunday 4:00 pm,</b> Mental Health Treatment Center, Executive Conference Room, 2150 Stockton Blvd., <b>Sacramento, CA 95817.</b></p>
<p><b>Monday 4:00 pm</b>, <b>Chico, CA 95926.</b> Contact (530) 342-6087, Faith Lutheran Church, 667 East 1st Ave., Room 6, Chico, CA <b> &lt;br&gt; </b></p>
<p><b>Monday 6:30 pm,</b> Heritage Oaks Office Building (to left of Heritage Oaks Hospital), 4300 Auburn Boulevard, Room 101, <b>Sacramento, CA 95841</b>, Follow signs to meeting room (Opposite Business 80 Auburn Blvd. off ramp), no meeting on Holiday's.</p>
<p><b>Monday 7:00 pm - 8:30 pm - </b> St. Matthew Lutheran Church, 5901 Lonetree Blvd., <b>Rocklin, CA 95765</b> (near Blue Oaks &amp; Hwy 65).</p>
<p><b>Wednesday 6:35-8:35 pm,</b> 5445 Laurel Hills Drive, Room 306 behind Gymnasium, (katty corner from car wash) <b>Sacramento, CA 95841</b> For questions call Rick at (530) 647-1110 &lt;br&gt;</p>
<p><b>Wednesday 7:00 pm</b>, <b>Woodland, CA,</b> <b>95695.</b> Contact (530) 662-3352. Woodland Memorial Hospital, 1325 Cottonwood St., Dining Rm. #5, Woodland, CA</p>
<p><b>Friday 7:00 pm, Modesto, CA 95926.</b> Contact (209) 247-2620, Geneva Presbyterian Church, 1229 E. Fairmont Ave, Modesto, CA 95926. <b> &lt;br&gt;</b></p>
<p><b>Friday 6:30 pm, Stockton, CA 95202. </b>Contact (209) 684-8204, St. John the Evangelist Episcopal Church, 316 N. El Dorado St., Stockton, CA 95202 (corner of Miner Ave.). There is a well-lighted parking area. Email address for this meeting is-- stocktonri@yahoo.com.</p>
<p>&lt;br&gt;</p>
<p><b>We welcome you! &lt;br&gt;</b></p>
<p><b>Dr. Abraham Low, neuro-psychiatrist and founder of RI says there are no hopeless cases. For any directions or questions, please call (916) 483-5616. &lt;br&gt; </b></p>","[{u'name': u'Bipolar Disorder', u'urlkey': u'bipolar', u'id': 892}, {u'name': u'Depression', u'urlkey': u'depression', u'id': 1079}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Stress Relief', u'urlkey': u'stress-relief', u'id': 17075}, {u'name': u'Social Anxiety', u'urlkey': u'social-anxiety', u'id': 18575}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Cognitive Behavior Therapy - CBT', u'urlkey': u'cognitive-behavior-therapy-cbt', u'id': 39967}, {u'name': u'Anxiety', u'urlkey': u'anxiety-support', u'id': 48057}, {u'name': u'Mental Health Support', u'urlkey': u'mental-health-support', u'id': 69470}, {u'name': u'Anger Management Tips', u'urlkey': u'anger-management-tips', u'id': 145774}, {u'name': u'how to cope with depression and anxiety', u'urlkey': u'how-to-cope-with-depression-and-anxiety', u'id': 300751}, {u'name': u'Cognitive Behavioral Techniques Self-Help', u'urlkey': u'cognitive-behavioral-techniques-self-help', u'id': 327261}, {u'name': u'Mental Health Self-Help', u'urlkey': u'mental-health-self-help', u'id': 327291}, {u'name': u'Recovery International Meeting', u'urlkey': u'recovery-international-meeting', u'id': 327301}]"
NAMI Santa Cruz Social Group,"<p><span>Members are people with a mental health diagnosis and/or the family members. &nbsp;Ideally you should be involved with us in some way, through our classes, support groups or volunteer efforts but this is not mandatory. &nbsp;It's nice to hang out with people who applaud your accomplishments and understand your challenges. &nbsp;Through it all, we all need to go out and have a little fun!</span><br></p>
<p><span>The intention of the&nbsp;</span>meetup<span>&nbsp;is to make it easy to get together. &nbsp;We will announce our Connection Groups here and fun or educational events.</span></p>
<p><span>We will also reach out to our group for help with small administration tasks like putting labels on our brochures (while eating pizza! &nbsp;Got to add the fun part!). &nbsp;</span></p>
<p>We hope you can join us!</p>
<p>NAMI Santa Cruz County</p>
<p>namiscc.org</p>
<p>National Alliance on Mental Illness</p>","[{u'name': u'Walking', u'urlkey': u'walkers', u'id': 933}, {u'name': u'Tennis', u'urlkey': u'tennis', u'id': 2926}, {u'name': u'Beach', u'urlkey': u'beach', u'id': 10567}, {u'name': u'Outdoors', u'urlkey': u'outdoors', u'id': 15046}, {u'name': u'Fun Times', u'urlkey': u'fun-times', u'id': 15117}, {u'name': u'Healthy Living', u'urlkey': u'healthy-living', u'id': 20221}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Exercise', u'urlkey': u'excercise', u'id': 25375}, {u'name': u'Game Night', u'urlkey': u'game-night', u'id': 40126}, {u'name': u'Mental Illness Awareness', u'urlkey': u'mental-illness-awareness', u'id': 55711}, {u'name': u'N.A.M.I.', u'urlkey': u'n-a-m-i', u'id': 1458962}]"
San Francisco OCD Peer Support Group,"<p><b>About us:</b></p>
<p>We're a friendly, casual group for adults (18+) with OCD and related disorders with almost no structure. We sit, talk, and eat.</p>
<p>We meet on the 4th Thursday of each month at 6:30 PM in downtown San Francisco.</p>
<p>Feel free to email me at rebecca@rebeccamassie.com or to message me here if you have any questions about the group or other mental health activities going on in San Francisco. My inboxes are always open. Though if you're looking to observe a peer lead support group I don't allow observers because this group won't fit what observers are looking for because the lack of structure.</p>","[{u'name': u'Depression', u'urlkey': u'depression', u'id': 1079}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Obsessive Compulsive Disorder', u'urlkey': u'ocd', u'id': 4586}, {u'name': u'Psychiatric Disorders', u'urlkey': u'mentalill', u'id': 6619}, {u'name': u'Generalized Anxiety Disorder', u'urlkey': u'generalized-anxiety-disorder', u'id': 15092}, {u'name': u'Social Anxiety', u'urlkey': u'social-anxiety', u'id': 18575}, {u'name': u'Obsessive Compulsive Personality Disorder', u'urlkey': u'obsessive-compulsive-personality-disorder', u'id': 18780}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Anxiety', u'urlkey': u'anxiety-support', u'id': 48057}, {u'name': u'Confidence and Self-Esteem', u'urlkey': u'confidence-and-self-esteem', u'id': 63753}, {u'name': u'Mental Health Support', u'urlkey': u'mental-health-support', u'id': 69470}, {u'name': u'OCD Support Group', u'urlkey': u'ocd-support-group', u'id': 73620}, {u'name': u'Anxiety Disorders', u'urlkey': u'anxiety-disorders', u'id': 305111}, {u'name': u'Shyness', u'urlkey': u'shy', u'id': 414252}, {u'name': u'Living with OCD', u'urlkey': u'living-with-ocd', u'id': 849222}]"
San Jose Anxiety & Depression Social Support Group,"<p><span>We typically get together on Sunday afternoon about twice a month and chat at a park in San Jose and possible future events in the Fremont area as well. This is an informal group not facilitated by a Licensed mental health professional, just peer run. If this sounds like a meetup you would like to attend, please join.&nbsp;</span><br></p>
<p>Mental illness is often a very isolating experience. This group is meant to be a safe, judgment-free space for those who experience depression, anxiety, or post-traumatic stress. Hopefully we can share, connect and learn with/from each other.</p>
<br>
<p>We can do this by sharing what's going on in our recovery process and/or just listening and learning from others. We don't have to be alone in this process. We are all worthy, good enough, and can be loved and accepted just as we are.</p>
<br>
<p>""Receiving empathy is a wonderful gift, but so is offering it."" - Brene Brown.</p>","[{u'name': u'Abuse Survivors', u'urlkey': u'abusesurvivors', u'id': 2071}, {u'name': u'Social Anxiety', u'urlkey': u'social-anxiety', u'id': 18575}, {u'name': u'Support', u'urlkey': u'support', u'id': 19925}, {u'name': u'Mental Illness', u'urlkey': u'mental-illness', u'id': 22543}, {u'name': u'Trauma Survivors', u'urlkey': u'trauma-survivors', u'id': 28227}, {u'name': u'Emotional Trauma and PTSD', u'urlkey': u'emotional-trauma-and-ptsd', u'id': 41952}, {u'name': u'Healing Depression and Anxiety', u'urlkey': u'healing-depression-and-anxiety', u'id': 48132}, {u'name': u'Healing from an Abusive Relationship', u'urlkey': u'healing-from-an-abusive-relationship', u'id': 61192}, {u'name': u'Mental Health Support', u'urlkey': u'mental-health-support', u'id': 69470}, {u'name': u'Depression  Support Group', u'urlkey': u'depression-support-group', u'id': 73619}, {u'name': u'Adult Survivors of Child Abuse', u'urlkey': u'adult-survivors-of-child-abuse', u'id': 110960}, {u'name': u'Support for Victims of Domestic Violence', u'urlkey': u'support-for-victims-of-domestic-violence', u'id': 143034}, {u'name': u'Shyness', u'urlkey': u'shy', u'id': 414252}]"
