name,description
Sac Feminists,"<p>Feminists come here to connect, find safe space, educate themselves, and educate each other on feminist issues. <br></p>
<p>We put on unique events for members of Sac Feminists, and we also cross-post events from other local progressive organizations so that members can see a lot of opportunities to get involved and connect. <br></p>
<p>If you have an idea for a meetup, get in touch with the organizers. <br></p>
<p>(In order to be approved as a member, you must answer the profile questions and have a picture of your face in your profile.) <br></p>
<p> <br></p>
<p> <br></p>"
Reproductive Justice Reading Group,"<p>We are a reading group dedicated to understanding how our culture oppresses women by controlling their reproductive lives. Issues to be discussed include access to sex education, contraception and abortion, as well as reproductive healthcare, parental leave, and affordable childcare. We will also discuss social pressures to have or not have children, silence around abortion, miscarriage and infertility, and pressures upon women to engage in ever-more ""intensive mothering."" We will explore these issues from a variety of perspectives, acknowledging that that they impact women of different racial identities, classes, and sexual identities in different ways. We also acknowledge that different groups of women have vastly different histories of experiencing reproductive oppression.</p>"
4-Women-Entrepreneurs,"<p><a class=""embedded"" href=""https://youtu.be/VSQ3LlrKBSs"">https://youtu.be/VSQ3LlrKBSs</a></p>
<p>The focus of Women Entrepreneurs is to build a community of opportunities for women entrepreneurs, that are taught by leaders who've already become successful Angel Investors, VC's, Speakers, Coaches, Trainers, and Service professionals.&nbsp; The community is dedicated to building relationships that focus on training, connections,&nbsp;collaboration, celebration, support and business growth.</p>
<p>If you are an individual that is open and willing to share your wisdom to empower, educate and mentor others, you are welcome to this group.</p>
<p>We have members looking to connect with business partners; members simply seeking inspiration and advice from mentors; members seeking feedback peer-to-peer. Whether you are a student, investor, potential client, employee or employer, there is something for all business minded individuals to share and/or contribute.</p>
<p>Let's meet with others in the Bay Area who want to develop their business, be financially independent, aim to be an Entrepreneur or help others become successful. Share your successes and struggles and exchange business cards and brochures. Listen to experts in this field give their presentations and listen to their success stories!</p>
<p>Also, we are excited to have you become a member and share with our group. <br></p>
<p>Welcome Aboard!</p>
<p> <br></p>"
OneTaste San Francisco,"<p><img src=""https://secure.meetupstatic.com/photos/event/8/5/7/5/600_466114165.jpeg""></p>
<p><span>OneTaste is a wellness and lifestyle company providing courses and mindfulness practices, in particular Orgasmic Meditation, that improve wellbeing, focus, emotional intelligence, connection and fulfillment.&nbsp;Our mission is to help people reach their highest potential through living in a flow state, a state based in connection.</span><br></p>
<p><i><b>OneTaste San Francisco</b></i> is a group of &nbsp;fun, open-minded people who gather together to have honest conversations about having a richer life and we use the areas of relationship, sex, and intimacy. We are a lot of fun (our meet-ups are not scary!) so you don't have to worry.&nbsp; <br></p>
<p>Our MeetUp events are open to everyone and designed to introduce you to what's possible with a wider-spectrum understanding of Orgasm, our incredible community, and Orgasmic Meditation (OM). Orgasmic Meditation is a wellness practice (like yoga and pilates) that is designed for singles and couples to experience more connection, vitality, pleasure, and meaning in every aspect of their lives.&nbsp;</p>
<p>You can participate at whatever level feels good to you. We're excited to meet you! <br></p>
<p>If you have any questions, feel free to reach out to&nbsp; Michele (Meetup Organizer &amp; OM Expert)&nbsp; at (860) 301 0180 call or text!</p>
<p><br></p>"
Starting Over Now - A Women's Group,"<p>In these turbulent times many women find themselves in a place of having to start over for various reasons: after marriages or relationships have broken up, children have left the home, illness or distress has changed their life. All these issues can create huge emotional, spiritual, and physical pain in your life. This group will help you find not only new people that have endured your situation but a place to be safe and find some ideas on how to adapt. Change is hard but it is in the difficulties that we find our true spirit. Join this group that meets the first Friday of the month.</p>"
SVF Tech Women,"<p>Meet other women (and men) who are interested in empowering women in all kinds of technology and encouraging girls to pursue education in science, technology, engineering or math (STEM) that will prepare them for career opportunities in technology.</p>
<p>Discuss topical strategies for advancement, handling issues in the workplace, personal and professional development as well as the emerging technologies of interest.</p>"
Goddess Blossom Women's Circles,"<p>We are a group of mothers, daughters, healers and artists who treasure wellness as the most precious gift and believe that healing comes from many different places: from the sun, rain, wind; from beauty and love; from art and poetry; from plants and kind hands; from knowledge and intuition; from indigenous culture and scientific minds; we are beautiful women who gather to share, to learn, to rest and to inspire.</p>"
Holotropic Breathwork- Bay Area,"<p>&nbsp;</p>
<p>The purpose of this group is to spread the word about Holotropic Breathwork groups to a larger number of people, as well as share when the different groups are happening. &nbsp;With this group I want to provide a space for those curious and new to the work, to experience it for the first time in a supportive and nourishing environment. &nbsp; As well as those who have practiced it for some time, have a place and a community to come back to. &nbsp;</p>
<p>I have found through the years, that this work is a wonderful way of accessing deep parts within us; release the pressures from daily life; expand our awareness of ourselves, those around us and the cosmos we are part of; as well as have a permissive and nourishing space that can allow the healing intelligence within our psyche to emerge from inside rather than directed by the&nbsp;outside.</p>
<p>Holotropic Breathwork is a method of using expanded states of awareness for self exploration, healing and personal transformation.  It was developed by Dr. Stanislav and Christina Grof, leading pioneers in the field of transpersonal psychology.  It is based on insights from various spiritual practices, modern consciousness research, and depth psychology.   An experiential approach to accessing the inner healing wisdom within each individual.</p>
<p>HOLOTROPIC BREATHWORK TM combines breathing, evocative music, focused release bodywork, mandala drawing and group sharing.  By activating the unconscious and mobilizing blocked energies, this work gives us access to all levels of human experience and activates the spontaneous healing potential of the psyche.</p>
<p>This work is of value to those interested in the journey of inner exploration, self-discovery and spiritual awareness.  It is a wonderful adjunct to psychotherapy and other forms of inner work, as well as a powerful method of self-care for helping professionals.  Our intention in the workshop is to create a safe and supportive environment in which each participant can surrender fully to the sensations, feelings or experiences that come up during the session.</p>
<p>I facilitate groups in the East Bay and San Francisco area, one day format as well as retreats in a beautiful setting. I can also travel to your area if you would like a group.</p>
<p>On <strong>FRIDAY EVENING </strong>before every one day &nbsp;Holotropic Breathwork workshop there is an FREE introductory talk for all new participants in preparation for the work, as well as for the general public interested in hearing about this work, with no commitment to attend the workshop (Please RSVP for this talk at 415.336.13.50)</p>
<p><strong>CREATIVE INTEGRATION</strong> is a process of using the expressive arts, somatic awareness, ritual and when appropriate the astrological chart.  As a way of deepening and integrating the material that comes out of the work with expanded states of consciousness into our daily lives. &nbsp;For those who request them, Mireya offers creative integration sessions after the workshops to support an ongoing integration process.</p>
<p><strong>UPCOMING GROUPS</strong>:</p>
<p><strong><span>UPCOMING WORKSHOP ON May 21st</span></strong></p>
<p><strong><span>SUMMER INTENSIVE: Healing the Wounds of History and Holotropic Breathwork August 4th to August 7th.&nbsp; A multicultural gathering exploring historical and collective trauma.<br /></span></strong></p>
<p>September 17th, November 5th and December 10th&nbsp; <strong>One day Holotropic Breathwork workshops.&nbsp;</strong></p>
<p>FIND OUT MORE ABOUT OUR BUNDLE PACKAGES AS WELL AS WORK EXCHANGE AND STUDENT SLOTS AVAILABLE.</p>
<p><strong>FOR MORE INFORMATION </strong>: GO TO www.almaquecanta.com, here at meet-up or call 415.336.13.50</p>"
Women's Circles and Events,"<p><span><strong>This group has two goals:</strong> Have a place for women who are drawn to sitting in circle with other women and / or women looking to participate in women only groups for spiritual growth, self exploration and transformation.</span></p>
<p><span>Women have come together in ritual, healing and celebration for millennia. I deeply trust the healing power that occurs when we gather as women and share our stories. As well as when we engage in processes of deep transformation together. Some of the ways I offer this to the community in my work is through: women's circles, expressive arts groups, Holotropic Breathwork as well as retreats and other events</span></p>
<p><span><strong>Some of our</strong></span> <span><span><strong>m</strong></span><strong>eet ups are closed circles for those who enroll in the full nine week process (you can miss two of the 9 weeks). If this is not what you are looking for this time, we will keep you informed of other future women's events. we do have sometimes new and full open and free circles for women to get a taste of this work. <br> </strong></span></p>
<p><span><span><strong>My intention in my groups</strong> is to create a sacred and supportive space for women to dive deep within, and find new places of opening, expression and resting in the integration of all of who they are.</span></span></p>
<p><span><span>In the circle, Mujeres, Altares y Milagritos we will explore the lineage of the women th</span>at came before us as the core inquiry:</span></p>
<ul> 
 <p><span><strong>What were the messages and stories we received from them?</strong></span></p> 
 <p><span><strong>How have they informed and formed who we are ?</strong></span></p> 
 <p><span><strong>What are places of release and which of honoring ?</strong></span></p> 
 <p><span><strong>How do we integrate these messages so they enrich our live story ?</strong></span></p> 
 <p><span><strong>What is your own unique voice and story ?</strong></span></p> 
</ul>
<p><span>In this group we will use of the expressive arts, circling with other women, altar and ritual, as powerful exploratory, empowering and integrative tools.</span></p>
<p><span>These groups are for women who are looking to find a supportive and inspiring space with other women, with the purpose of deep transformation, playfulness and a sacred space that will hold the various colors of the inner process. As well as produce lasting insights, change and growth in their lives.</span></p>"
Goddess Hoop Dance,"<p>Goddess Hoop Dance offers weekly Beginner Hoop Dance Classes in Danville, California.</p>
<p>Hula hoops are not just for kids anymore. Hoop dance or hooping is done with larger, heavier hoops that work beautifully on adult bodies.</p>
<p>Fantastic for beginner level hoopers! You will build balance, co-ordination and agility. You will hoop in both directions, play with fun basic hoop dance moves, participate in group activities and exercises, connect with your center and have a great time!</p>
<p>*Hoops provided for class use and available for sale on site.</p>
<p>Taught by Jodi at Two Left Feet, 194 Diablo Road in Danville. The studio we use is in the rear of the building. (The rear entrance is at the driveway directly behind the gas station on Front Street.) Wear sneakers or go barefoot. Be sure to bring water.</p>
<p>Come meet other hoop dancers and have fun while getting into great shape.</p>
<p>Bring your inner Goddess out to play!</p>
<p>Classes are almost every Saturday morning at from 8:45-9:45. Please check the schedule to be sure there is a class the day you'd like to come. Drop-in for $20 or sign up for a package of four classes--the package is good for any four classes in an eight week period--and save $$! The Four Class Package is just $60.</p>"
Pathwayslt/ChrisBeals Meditation Group S.F. Bay Area,"<p>All of Pathways' meditation classes are designed to empower you on your spiritual path. Classes cover a range of topics. The teaching method allows the student to integrate mind, body, spirit, and emotion simultaneously. Most people are integrated in two out of the four areas. This system will allow the student to move ahead in balance. Workshops are a great way to introduce your self to my work. I am currently teaching in Pleasant Hill, Walnut Creek and San Mateo! Please join me for this fun and empowering work. I believe everyone is gifted, it is just a matter of developing and understanding your gifts. I teach active meditations that you can take home and use right away.&nbsp;</p>
<p>I look forward to meeting you!</p>
<p>Many Blessings,</p>
<p>Chris Beals</p>
<p> <br> For a complete list of classes and workshops, visit me at:&nbsp; <br> www.pathwayslt.com</p>
<p>Types of Readings offered:</p>
<p>Relationship/Love Life&nbsp; <br> Career/Finances&nbsp; <br> Spiritual Path&nbsp; <br> Past Life&nbsp; <br> General Reading&nbsp; <br> (all encompassing)&nbsp; <br> Aura Reading&nbsp; <br> Right Livelihood - Finding It!&nbsp; <br> Next Step Reading&nbsp; <br> House/Office Reading&nbsp; <br> Baby Being for women who want to get pregnant or are pregnant (makes a great gift!)</p>
<p>www.pathwayslt.com</p>"
Bay Area International Development Group,"<p>A lot of good work is being done from within the Bay Area to address global development issues. This Group serves as a space where those involved in and dedicated to this work can commune, share and socialize.</p>"
Santa Rosa Women Over 45 Group,"<p> <br> <span>I imagine most of us are going through big transitions in our lives. We can learn from each other, find support and just have fun. After a lifetime of taking care of everything and everyone, it is time for us to take care of ourselves , connect with others on the same path, and schedule some time to just enjoy life. Sometimes it is difficult to find meaningful friendships and everyone in our group is looking for the same thing! <br></span></p>
<p><span>We do not check I.D.s for age so if you are near 45--or just resonate with the focus of the group, please join us. The more the merrier. <br></span></p>"
Women in Tech - SF Bay Area,"<p>A community of women in technology where we talk tech in a non-judgemental friendly environment.</p>
<p>Goals: A monthly happy hours where we will talk about a pre-decided topic based on group suggestions. Eg: technology(Hadoop, Ruby-On-Rails etc.), latest start-up trends, use of latest technology in our daily lives etc..</p>
<p>Please don't feel you have to be an expert on that topic or for that matter know anything about it. If you are just interested in knowing more about it this is the place for you. We are all Super Women in our fields and it would be interesting to know about other things, as simple as that.</p>
<p>If you are working a project and would need help in technology or other aspects of project development you can ask for advice and get feedback from members of our group. We can have special meetups for those kind of activities.</p>
<p>If tech is what interests you come join our tech camaraderie.</p>
<p><strong>DISCLAIMER: <br> <br> The organizer reserves the right to say No. This group assumes ABSOLUTELY NO responsibility, including but not limited to injury or loss of any kind/form due to the use of information, or participating in activities found on this group/site. The organizer assumes no responsibility for any damage/loss of any kind/form related directly/indirectly to any kind of information found on this meetup group.</strong></p>"
