name,description,topics
Sac Feminists,"<p>Feminists come here to connect, find safe space, educate themselves, and educate each other on feminist issues. <br></p>
<p>We put on unique events for members of Sac Feminists, and we also cross-post events from other local progressive organizations so that members can see a lot of opportunities to get involved and connect. <br></p>
<p>If you have an idea for a meetup, get in touch with the organizers. <br></p>
<p>(In order to be approved as a member, you must answer the profile questions and have a picture of your face in your profile.) <br></p>
<p> <br></p>
<p> <br></p>","[{u'name': u'Feminism', u'urlkey': u'feminism', u'id': 312}, {u'name': u'Human Rights', u'urlkey': u'humanrights', u'id': 1546}, {u'name': u'Politics', u'urlkey': u'politics', u'id': 4377}, {u'name': u'LGBT', u'urlkey': u'lgbtfriends', u'id': 10050}, {u'name': u'Social Movements', u'urlkey': u'movement', u'id': 10460}, {u'name': u'Community', u'urlkey': u'community', u'id': 15227}, {u'name': u""Women's Rights"", u'urlkey': u'womens-rights', u'id': 15910}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Social Justice', u'urlkey': u'social-justice', u'id': 17986}, {u'name': u'Activism', u'urlkey': u'activism', u'id': 19197}, {u'name': u'Community Building', u'urlkey': u'community-building', u'id': 20727}, {u'name': u'Feminist', u'urlkey': u'feminist', u'id': 37271}, {u'name': u'Reproductive Health and Social Justice', u'urlkey': u'reproductive-health-and-social-justice', u'id': 61499}, {u'name': u'LGBTQ', u'urlkey': u'lgbtq', u'id': 64804}, {u'name': u'Gender Equality', u'urlkey': u'gender-equality', u'id': 102002}]"
4-Women-Entrepreneurs,"<p><a class=""embedded"" href=""https://youtu.be/VSQ3LlrKBSs"">https://youtu.be/VSQ3LlrKBSs</a></p>
<p>The focus of Women Entrepreneurs is to build a community of opportunities for women entrepreneurs, that are taught by leaders who've already become successful Angel Investors, VC's, Speakers, Coaches, Trainers, and Service professionals.&nbsp; The community is dedicated to building relationships that focus on training, connections,&nbsp;collaboration, celebration, support and business growth.</p>
<p>If you are an individual that is open and willing to share your wisdom to empower, educate and mentor others, you are welcome to this group.</p>
<p>We have members looking to connect with business partners; members simply seeking inspiration and advice from mentors; members seeking feedback peer-to-peer. Whether you are a student, investor, potential client, employee or employer, there is something for all business minded individuals to share and/or contribute.</p>
<p>Let's meet with others in the Bay Area who want to develop their business, be financially independent, aim to be an Entrepreneur or help others become successful. Share your successes and struggles and exchange business cards and brochures. Listen to experts in this field give their presentations and listen to their success stories!</p>
<p>Also, we are excited to have you become a member and share with our group. <br></p>
<p>Welcome Aboard!</p>
<p> <br></p>","[{u'name': u'Digital Photography', u'urlkey': u'digcam', u'id': 206}, {u'name': u'Small Business', u'urlkey': u'smallbiz', u'id': 389}, {u'name': u'Singles', u'urlkey': u'singles', u'id': 498}, {u'name': u'New In Town', u'urlkey': u'newintown', u'id': 1273}, {u'name': u'Social Networking', u'urlkey': u'socialnetwork', u'id': 4422}, {u'name': u'New Technology', u'urlkey': u'newtech', u'id': 9696}, {u'name': u'Online Marketing', u'urlkey': u'online-marketing', u'id': 15585}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'User Experience', u'urlkey': u'user-experience', u'id': 19243}, {u'name': u'SEO (Search Engine Optimization)', u'urlkey': u'seo-search-engine-optimization', u'id': 23199}, {u'name': u'Augmented Reality', u'urlkey': u'augmented-reality', u'id': 26061}, {u'name': u'Female Entrepreneurs', u'urlkey': u'female-entrepreneurs', u'id': 41905}, {u'name': u'Makers', u'urlkey': u'makers', u'id': 43887}, {u'name': u'Digital Currency', u'urlkey': u'digital-currency', u'id': 143713}, {u'name': u'Cryptocurrency', u'urlkey': u'cryptocurrency', u'id': 191791}]"
OneTaste San Francisco,"<p><img src=""https://secure.meetupstatic.com/photos/event/8/5/7/5/600_466114165.jpeg""></p>
<p><span>OneTaste is a wellness and lifestyle company providing courses and mindfulness practices, in particular Orgasmic Meditation, that improve wellbeing, focus, emotional intelligence, connection and fulfillment.&nbsp;Our mission is to help people reach their highest potential through living in a flow state, a state based in connection.</span><br></p>
<p><i><b>OneTaste San Francisco</b></i> is a group of &nbsp;fun, open-minded people who gather together to have honest conversations about having a richer life and we use the areas of relationship, sex, and intimacy. We are a lot of fun (our meet-ups are not scary!) so you don't have to worry.&nbsp; <br></p>
<p>Our MeetUp events are open to everyone and designed to introduce you to what's possible with a wider-spectrum understanding of Orgasm, our incredible community, and Orgasmic Meditation (OM). Orgasmic Meditation is a wellness practice (like yoga and pilates) that is designed for singles and couples to experience more connection, vitality, pleasure, and meaning in every aspect of their lives.&nbsp;</p>
<p>You can participate at whatever level feels good to you. We're excited to meet you! <br></p>
<p>If you have any questions, feel free to reach out to&nbsp; Michele (Meetup Organizer &amp; OM Expert)&nbsp; at (860) 301 0180 call or text!</p>
<p><br></p>","[{u'name': u'Singles', u'urlkey': u'singles', u'id': 498}, {u'name': u'New In Town', u'urlkey': u'newintown', u'id': 1273}, {u'name': u'Meditation', u'urlkey': u'meditation', u'id': 1322}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Consciousness', u'urlkey': u'consciousness', u'id': 4417}, {u'name': u'Social Networking', u'urlkey': u'socialnetwork', u'id': 4422}, {u'name': u""Women's Social"", u'urlkey': u'women', u'id': 10232}, {u'name': u'Spirituality', u'urlkey': u'spirituality', u'id': 10290}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Social', u'urlkey': u'social', u'id': 10581}, {u'name': u'Personal Development', u'urlkey': u'personal-development', u'id': 16468}, {u'name': u'Spiritual Growth', u'urlkey': u'spiritual-growth', u'id': 17658}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Healthy Living', u'urlkey': u'healthy-living', u'id': 20221}, {u'name': u'Dating and Relationships', u'urlkey': u'dating-and-relationships', u'id': 20246}]"
Starting Over Now - A Women's Group,"<p>In these turbulent times many women find themselves in a place of having to start over for various reasons: after marriages or relationships have broken up, children have left the home, illness or distress has changed their life. All these issues can create huge emotional, spiritual, and physical pain in your life. This group will help you find not only new people that have endured your situation but a place to be safe and find some ideas on how to adapt. Change is hard but it is in the difficulties that we find our true spirit. Join this group that meets the first Friday of the month.</p>","[{u'name': u'Divorce Support', u'urlkey': u'divorcesupport', u'id': 1570}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Starting Over', u'urlkey': u'startingover', u'id': 3720}, {u'name': u'Consciousness', u'urlkey': u'consciousness', u'id': 4417}, {u'name': u'Life Transformation', u'urlkey': u'lifetransform', u'id': 8702}, {u'name': u""Women's Social"", u'urlkey': u'women', u'id': 10232}, {u'name': u'Spirituality', u'urlkey': u'spirituality', u'id': 10290}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Divorce/Grief Support', u'urlkey': u'divorce-grief-support', u'id': 19311}, {u'name': u'Support', u'urlkey': u'support', u'id': 19925}, {u'name': u'Professional Development for Women', u'urlkey': u'personal-and-professional-development-for-women', u'id': 23105}, {u'name': u'Personal Development for Women', u'urlkey': u'personal-development-for-women', u'id': 24188}, {u'name': u'Self Exploration', u'urlkey': u'self-exploration', u'id': 29158}, {u'name': u'Self-Empowerment', u'urlkey': u'self-empowerment', u'id': 38757}, {u'name': u'Rebuilding your Life', u'urlkey': u'rebuilding-your-life', u'id': 89626}]"
SVF Tech Women,"<p>Meet other women (and men) who are interested in empowering women in all kinds of technology and encouraging girls to pursue education in science, technology, engineering or math (STEM) that will prepare them for career opportunities in technology.</p>
<p>Discuss topical strategies for advancement, handling issues in the workplace, personal and professional development as well as the emerging technologies of interest.</p>","[{u'name': u'Marketing', u'urlkey': u'marketing', u'id': 1238}, {u'name': u'Network Marketing', u'urlkey': u'networkmarket', u'id': 2532}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Social Networking', u'urlkey': u'socialnetwork', u'id': 4422}, {u'name': u'Business Referral Networking', u'urlkey': u'business-referral-networking', u'id': 15405}, {u'name': u'Women Entrepreneurs', u'urlkey': u'women-entrepreneurs', u'id': 15497}, {u'name': u'Professional Networking', u'urlkey': u'professional-networking', u'id': 15720}, {u'name': u'Personal Development', u'urlkey': u'personal-development', u'id': 16468}, {u'name': u'Business Strategy', u'urlkey': u'business-strategy', u'id': 17635}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Business Development', u'urlkey': u'business-development', u'id': 18012}, {u'name': u'Entrepreneurship', u'urlkey': u'entrepreneurship', u'id': 19882}, {u'name': u""Women's Business Networking"", u'urlkey': u'womens-business-networking', u'id': 21283}, {u'name': u'Women Small Business Owners', u'urlkey': u'women-small-business-owners', u'id': 23633}, {u'name': u'Professional Women', u'urlkey': u'professional-women', u'id': 26273}, {u'name': u'Executive Coaching', u'urlkey': u'executive-coaching', u'id': 135717}]"
Goddess Blossom Women's Circles,"<p>We are a group of mothers, daughters, healers and artists who treasure wellness as the most precious gift and believe that healing comes from many different places: from the sun, rain, wind; from beauty and love; from art and poetry; from plants and kind hands; from knowledge and intuition; from indigenous culture and scientific minds; we are beautiful women who gather to share, to learn, to rest and to inspire.</p>","[{u'name': u'Goddess', u'urlkey': u'goddess', u'id': 1052}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Consciousness', u'urlkey': u'consciousness', u'id': 4417}, {u'name': u'Spirituality', u'urlkey': u'spirituality', u'id': 10290}, {u'name': u'Intimacy', u'urlkey': u'intimacy', u'id': 15187}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Breathwork', u'urlkey': u'breathwork', u'id': 18470}, {u'name': u'Visualization', u'urlkey': u'visualization', u'id': 18987}, {u'name': u'Ecstatic Dance', u'urlkey': u'ecstatic-dance', u'id': 23955}, {u'name': u'Self Exploration', u'urlkey': u'self-exploration', u'id': 29158}, {u'name': u'Self-Empowerment', u'urlkey': u'self-empowerment', u'id': 38757}, {u'name': u'Flower Essences for Healing', u'urlkey': u'flower-essences-for-healing', u'id': 46518}, {u'name': u'Sacred Feminine', u'urlkey': u'sacred-feminine', u'id': 62062}, {u'name': u'Divine Feminine', u'urlkey': u'divine-feminine', u'id': 84775}, {u'name': u'Gemstones', u'urlkey': u'gemstones', u'id': 88079}, {u'name': u'Sensuality', u'urlkey': u'celebrate-sensuality', u'id': 93385}]"
Holotropic Breathwork- Bay Area,"<p>&nbsp;</p>
<p>The purpose of this group is to spread the word about Holotropic Breathwork groups to a larger number of people, as well as share when the different groups are happening. &nbsp;With this group I want to provide a space for those curious and new to the work, to experience it for the first time in a supportive and nourishing environment. &nbsp; As well as those who have practiced it for some time, have a place and a community to come back to. &nbsp;</p>
<p>I have found through the years, that this work is a wonderful way of accessing deep parts within us; release the pressures from daily life; expand our awareness of ourselves, those around us and the cosmos we are part of; as well as have a permissive and nourishing space that can allow the healing intelligence within our psyche to emerge from inside rather than directed by the&nbsp;outside.</p>
<p>Holotropic Breathwork is a method of using expanded states of awareness for self exploration, healing and personal transformation.  It was developed by Dr. Stanislav and Christina Grof, leading pioneers in the field of transpersonal psychology.  It is based on insights from various spiritual practices, modern consciousness research, and depth psychology.   An experiential approach to accessing the inner healing wisdom within each individual.</p>
<p>HOLOTROPIC BREATHWORK TM combines breathing, evocative music, focused release bodywork, mandala drawing and group sharing.  By activating the unconscious and mobilizing blocked energies, this work gives us access to all levels of human experience and activates the spontaneous healing potential of the psyche.</p>
<p>This work is of value to those interested in the journey of inner exploration, self-discovery and spiritual awareness.  It is a wonderful adjunct to psychotherapy and other forms of inner work, as well as a powerful method of self-care for helping professionals.  Our intention in the workshop is to create a safe and supportive environment in which each participant can surrender fully to the sensations, feelings or experiences that come up during the session.</p>
<p>I facilitate groups in the East Bay and San Francisco area, one day format as well as retreats in a beautiful setting. I can also travel to your area if you would like a group.</p>
<p>On <strong>FRIDAY EVENING </strong>before every one day &nbsp;Holotropic Breathwork workshop there is an FREE introductory talk for all new participants in preparation for the work, as well as for the general public interested in hearing about this work, with no commitment to attend the workshop (Please RSVP for this talk at 415.336.13.50)</p>
<p><strong>CREATIVE INTEGRATION</strong> is a process of using the expressive arts, somatic awareness, ritual and when appropriate the astrological chart.  As a way of deepening and integrating the material that comes out of the work with expanded states of consciousness into our daily lives. &nbsp;For those who request them, Mireya offers creative integration sessions after the workshops to support an ongoing integration process.</p>
<p><strong>UPCOMING GROUPS</strong>:</p>
<p><strong><span>UPCOMING WORKSHOP ON May 21st</span></strong></p>
<p><strong><span>SUMMER INTENSIVE: Healing the Wounds of History and Holotropic Breathwork August 4th to August 7th.&nbsp; A multicultural gathering exploring historical and collective trauma.<br /></span></strong></p>
<p>September 17th, November 5th and December 10th&nbsp; <strong>One day Holotropic Breathwork workshops.&nbsp;</strong></p>
<p>FIND OUT MORE ABOUT OUR BUNDLE PACKAGES AS WELL AS WORK EXCHANGE AND STUDENT SLOTS AVAILABLE.</p>
<p><strong>FOR MORE INFORMATION </strong>: GO TO www.almaquecanta.com, here at meet-up or call 415.336.13.50</p>","[{u'name': u'Metaphysics', u'urlkey': u'metaphysics', u'id': 774}, {u'name': u'Meditation', u'urlkey': u'meditation', u'id': 1322}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Consciousness', u'urlkey': u'consciousness', u'id': 4417}, {u'name': u""Women's Social"", u'urlkey': u'women', u'id': 10232}, {u'name': u'Spirituality', u'urlkey': u'spirituality', u'id': 10290}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Personal Development', u'urlkey': u'personal-development', u'id': 16468}, {u'name': u'Spiritual Growth', u'urlkey': u'spiritual-growth', u'id': 17658}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Breathwork', u'urlkey': u'breathwork', u'id': 18470}, {u'name': u'Transformation', u'urlkey': u'transformation', u'id': 21591}, {u'name': u'Shamanic Journeying', u'urlkey': u'shamanic-journeying', u'id': 37511}, {u'name': u""Women's Health and Wellness"", u'urlkey': u'womens-health-and-wellness', u'id': 46865}, {u'name': u'Expressive Arts', u'urlkey': u'expressive-arts', u'id': 53903}, {u'name': u'Holotropic Breathwork', u'urlkey': u'holotropic-breathwork', u'id': 90133}]"
Women's Circles and Events,"<p><span><strong>This group has two goals:</strong> Have a place for women who are drawn to sitting in circle with other women and / or women looking to participate in women only groups for spiritual growth, self exploration and transformation.</span></p>
<p><span>Women have come together in ritual, healing and celebration for millennia. I deeply trust the healing power that occurs when we gather as women and share our stories. As well as when we engage in processes of deep transformation together. Some of the ways I offer this to the community in my work is through: women's circles, expressive arts groups, Holotropic Breathwork as well as retreats and other events</span></p>
<p><span><strong>Some of our</strong></span> <span><span><strong>m</strong></span><strong>eet ups are closed circles for those who enroll in the full nine week process (you can miss two of the 9 weeks). If this is not what you are looking for this time, we will keep you informed of other future women's events. we do have sometimes new and full open and free circles for women to get a taste of this work. <br> </strong></span></p>
<p><span><span><strong>My intention in my groups</strong> is to create a sacred and supportive space for women to dive deep within, and find new places of opening, expression and resting in the integration of all of who they are.</span></span></p>
<p><span><span>In the circle, Mujeres, Altares y Milagritos we will explore the lineage of the women th</span>at came before us as the core inquiry:</span></p>
<ul> 
 <p><span><strong>What were the messages and stories we received from them?</strong></span></p> 
 <p><span><strong>How have they informed and formed who we are ?</strong></span></p> 
 <p><span><strong>What are places of release and which of honoring ?</strong></span></p> 
 <p><span><strong>How do we integrate these messages so they enrich our live story ?</strong></span></p> 
 <p><span><strong>What is your own unique voice and story ?</strong></span></p> 
</ul>
<p><span>In this group we will use of the expressive arts, circling with other women, altar and ritual, as powerful exploratory, empowering and integrative tools.</span></p>
<p><span>These groups are for women who are looking to find a supportive and inspiring space with other women, with the purpose of deep transformation, playfulness and a sacred space that will hold the various colors of the inner process. As well as produce lasting insights, change and growth in their lives.</span></p>","[{u'name': u""Women's Social"", u'urlkey': u'women', u'id': 10232}, {u'name': u'Spirituality', u'urlkey': u'spirituality', u'id': 10290}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Creative Circle', u'urlkey': u'creativecircle', u'id': 10447}, {u'name': u'Women Entrepreneurs', u'urlkey': u'women-entrepreneurs', u'id': 15497}, {u'name': u'Family Constellations', u'urlkey': u'family-constellations', u'id': 15521}, {u'name': u""Women's Circle"", u'urlkey': u'womens-circle', u'id': 17276}, {u'name': u'Spiritual Growth', u'urlkey': u'spiritual-growth', u'id': 17658}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Transformation', u'urlkey': u'transformation', u'id': 21591}, {u'name': u'Professional Women', u'urlkey': u'professional-women', u'id': 26273}, {u'name': u'Self Exploration', u'urlkey': u'self-exploration', u'id': 29158}, {u'name': u'Self-Empowerment', u'urlkey': u'self-empowerment', u'id': 38757}, {u'name': u'Expressive Arts', u'urlkey': u'expressive-arts', u'id': 53903}, {u'name': u'Sacred Ceremony and Ritual', u'urlkey': u'sacred-ceremony-and-ritual', u'id': 59894}, {u'name': u""Women's Support"", u'urlkey': u'womens-support', u'id': 144477}]"
Goddess Hoop Dance,"<p>Goddess Hoop Dance offers weekly Beginner Hoop Dance Classes in Danville, California.</p>
<p>Hula hoops are not just for kids anymore. Hoop dance or hooping is done with larger, heavier hoops that work beautifully on adult bodies.</p>
<p>Fantastic for beginner level hoopers! You will build balance, co-ordination and agility. You will hoop in both directions, play with fun basic hoop dance moves, participate in group activities and exercises, connect with your center and have a great time!</p>
<p>*Hoops provided for class use and available for sale on site.</p>
<p>Taught by Jodi at Two Left Feet, 194 Diablo Road in Danville. The studio we use is in the rear of the building. (The rear entrance is at the driveway directly behind the gas station on Front Street.) Wear sneakers or go barefoot. Be sure to bring water.</p>
<p>Come meet other hoop dancers and have fun while getting into great shape.</p>
<p>Bring your inner Goddess out to play!</p>
<p>Classes are almost every Saturday morning at from 8:45-9:45. Please check the schedule to be sure there is a class the day you'd like to come. Drop-in for $20 or sign up for a package of four classes--the package is good for any four classes in an eight week period--and save $$! The Four Class Package is just $60.</p>","[{u'name': u""Women's Sports"", u'urlkey': u'womensports', u'id': 6828}, {u'name': u'Hula Hooping', u'urlkey': u'hulahooping', u'id': 8252}, {u'name': u""Women's Social"", u'urlkey': u'women', u'id': 10232}, {u'name': u""Women's Fitness"", u'urlkey': u'womens-fitness', u'id': 15123}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Hooping', u'urlkey': u'hooping', u'id': 22056}, {u'name': u'Hoop Dance', u'urlkey': u'hoop-dance', u'id': 30347}, {u'name': u'Hula Hooping Danville/San Ramon', u'urlkey': u'hula-hooping-danville-san-ramon', u'id': 122131}, {u'name': u""Fun Women's Fitness"", u'urlkey': u'fun-womens-fitness', u'id': 132208}]"
Pathwayslt/ChrisBeals Meditation Group S.F. Bay Area,"<p>All of Pathways' meditation classes are designed to empower you on your spiritual path. Classes cover a range of topics. The teaching method allows the student to integrate mind, body, spirit, and emotion simultaneously. Most people are integrated in two out of the four areas. This system will allow the student to move ahead in balance. Workshops are a great way to introduce your self to my work. I am currently teaching in Pleasant Hill, Walnut Creek and San Mateo! Please join me for this fun and empowering work. I believe everyone is gifted, it is just a matter of developing and understanding your gifts. I teach active meditations that you can take home and use right away.&nbsp;</p>
<p>I look forward to meeting you!</p>
<p>Many Blessings,</p>
<p>Chris Beals</p>
<p> <br> For a complete list of classes and workshops, visit me at:&nbsp; <br> www.pathwayslt.com</p>
<p>Types of Readings offered:</p>
<p>Relationship/Love Life&nbsp; <br> Career/Finances&nbsp; <br> Spiritual Path&nbsp; <br> Past Life&nbsp; <br> General Reading&nbsp; <br> (all encompassing)&nbsp; <br> Aura Reading&nbsp; <br> Right Livelihood - Finding It!&nbsp; <br> Next Step Reading&nbsp; <br> House/Office Reading&nbsp; <br> Baby Being for women who want to get pregnant or are pregnant (makes a great gift!)</p>
<p>www.pathwayslt.com</p>","[{u'name': u'Metaphysics', u'urlkey': u'metaphysics', u'id': 774}, {u'name': u'Distant Healing', u'urlkey': u'distanthealing', u'id': 992}, {u'name': u'Meditation', u'urlkey': u'meditation', u'id': 1322}, {u'name': u'Feng Shui', u'urlkey': u'fengshui', u'id': 1462}, {u'name': u'Psychics', u'urlkey': u'psychics', u'id': 1523}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Spirituality', u'urlkey': u'spirituality', u'id': 10290}, {u'name': u'Holistic Health', u'urlkey': u'holistic-health', u'id': 15478}, {u'name': u'Energy Healing', u'urlkey': u'energy-healing', u'id': 15738}, {u'name': u'Abundance And Prosperity', u'urlkey': u'abundance-and-prosperity', u'id': 15942}, {u'name': u'Chakras', u'urlkey': u'chakras', u'id': 17806}, {u'name': u""Women's Empowerment"", u'urlkey': u'womens-empowerment', u'id': 17933}, {u'name': u'Chakra Clearing', u'urlkey': u'chakra-clearing', u'id': 21934}, {u'name': u'Clairvoyant Readings', u'urlkey': u'clairvoyant-readings', u'id': 23703}, {u'name': u'Clairvoyance', u'urlkey': u'clairvoyance', u'id': 24770}, {u'name': u'Connecting with the Angelic Realms', u'urlkey': u'connecting-with-the-angelic-realms', u'id': 28142}, {u'name': u'Tantra for Women', u'urlkey': u'tantra-for-women', u'id': 30509}, {u'name': u'Guided Visualizations', u'urlkey': u'guided-visualizations', u'id': 60825}, {u'name': u'Aura Cleansing & Chakra Balancing', u'urlkey': u'aura-cleansing-chakra-balancing', u'id': 78470}]"
